"Election.to.the.Bihar.Legislative.Assembly.from.the.230..Konch.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"
"330"	"of"	""	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of"	""	""	""	""	""	""
"331"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""
"332"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""
"333"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""
"334"	"210"	""	"0"	""	""	"0"	""	""	""	"3"	""	""	""	""	"311"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"314"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"314"	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"211"	""	"74"	""	""	"9"	""	""	""	"4"	""	""	""	""	"25"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"127"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"127"	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"212"	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"213"	""	"0"	""	""	"0"	""	""	""	"25"	""	""	""	""	"713"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"741"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"741"	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"214"	""	"9"	""	""	"34"	""	""	""	"5"	""	""	""	""	"54"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"111"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"111"	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"215"	""	"0"	""	""	"0"	""	""	""	"14"	""	""	""	""	"458"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"473"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"473"	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"216"	""	"7"	""	""	"0"	""	""	""	"2"	""	""	""	""	"219"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"236"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"236"	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"217"	""	"79"	""	""	"79"	""	""	""	"21"	""	""	""	""	"66"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"17"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"283"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"218"	""	"148"	""	""	"51"	""	""	""	"26"	""	""	""	""	"88"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"11"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"344"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"344"	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"219"	""	"180"	""	""	"40"	""	""	""	"4"	""	""	""	""	"35"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"20"	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"322"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"322"	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"220"	""	"45"	""	""	"59"	""	""	""	"24"	""	""	""	""	"315"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"477"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"477"	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"221"	""	"112"	""	""	"0"	""	""	""	"30"	""	""	""	""	"274"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"12"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"439"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"439"	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"222"	""	"167"	""	""	"124"	""	""	""	"14"	""	""	""	""	"136"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"27"	""	""	""	""	""	"36"	""	""	""	""	""	""	""	"553"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"553"	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"223"	""	"130"	""	""	"16"	""	""	""	"47"	""	""	""	""	"181"	""	""	""	""	"8"	""	""	""	""	"2"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"73"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"491"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"491"	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"Total"	""	"951"	""	""	"412"	""	""	""	"219"	""	""	""	""	"2875"	""	""	""	""	"33"	""	""	""	""	"15"	""	""	""	""	""	""	"56"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"47"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	"178"	""	""	""	""	""	"90"	""	""	""	""	""	""	""	"4911"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4911"	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""
"350"	"of"	""	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of"	""	""	""	""	""	""	""
"351"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""
"352"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""
"353"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"354"	"224"	""	"33"	""	""	"15"	""	""	""	"36"	""	""	""	""	"493"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	"9"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"593"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"593"	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"225"	""	"9"	""	""	"1"	""	""	""	"3"	""	""	""	""	"284"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"316"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"316"	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"226"	""	"0"	""	""	"0"	""	""	""	"5"	""	""	""	""	"160"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"172"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"172"	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"227"	""	"5"	""	""	"2"	""	""	""	"1"	""	""	""	""	"148"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"21"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"186"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"186"	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"228"	""	"158"	""	""	"4"	""	""	""	"4"	""	""	""	""	"55"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	"19"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"251"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"229"	""	"9"	""	""	"14"	""	""	""	"2"	""	""	""	""	"103"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"130"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"130"	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"230"	""	"35"	""	""	"11"	""	""	""	"184"	""	""	""	""	"241"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	"18"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"531"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"531"	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"231"	""	"127"	""	""	"20"	""	""	""	"112"	""	""	""	""	"131"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	"96"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"531"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"531"	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"232"	""	"62"	""	""	"8"	""	""	""	"57"	""	""	""	""	"117"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"101"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"355"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"233"	""	"7"	""	""	"1"	""	""	""	"11"	""	""	""	""	"85"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"131"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"131"	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"234"	""	"84"	""	""	"117"	""	""	""	"64"	""	""	""	""	"128"	""	""	""	""	"4"	""	""	""	""	"8"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	"76"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"524"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"524"	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"235"	""	"115"	""	""	"10"	""	""	""	"31"	""	""	""	""	"193"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	"54"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"423"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"423"	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"236"	""	"226"	""	""	"110"	""	""	""	"19"	""	""	""	""	"86"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	"12"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"485"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"485"	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"237"	""	"2"	""	""	"0"	""	""	""	"24"	""	""	""	""	"156"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"182"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"182"	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"Total"	""	"872"	""	""	"313"	""	""	""	"553"	""	""	""	""	"2380"	""	""	""	""	"40"	""	""	""	""	"24"	""	""	""	""	""	""	"65"	""	""	""	""	""	""	"37"	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	"24"	""	""	""	""	"421"	""	""	""	""	""	"48"	""	""	""	""	""	""	""	"4810"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4810"	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""
"370"	"of"	""	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA  SINGH"	""	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of"	""	""	""	""	""	""	""
"371"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""
"372"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""
"373"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"374"	"238"	""	"172"	""	""	"25"	""	""	""	"7"	""	""	""	""	"115"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"343"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"343"	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"239"	""	"208"	""	""	"9"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"250"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"240"	""	"220"	""	""	"6"	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"247"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"247"	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"241"	""	"2"	""	""	"1"	""	""	""	"146"	""	""	""	""	"134"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"292"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"292"	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"242"	""	"56"	""	""	"7"	""	""	""	"3"	""	""	""	""	"17"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"91"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"91"	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"243"	""	"36"	""	""	"18"	""	""	""	"80"	""	""	""	""	"80"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"17"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"243"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"243"	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"244"	""	"113"	""	""	"5"	""	""	""	"6"	""	""	""	""	"77"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	"90"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"302"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
