"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"
"290"	"192"	""	"125"	""	""	"291"	""	""	""	"3"	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	"2"	""	""	""	""	""	""	"101"	""	""	""	""	""	"10"	""	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"20"	""	""	""	""	""	""	"592"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"592"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"193"	""	"217"	""	""	"8"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	"2"	""	""	""	""	""	""	"129"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"17"	""	""	""	""	""	""	"392"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"392"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"194"	""	"185"	""	""	"6"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	"2"	""	""	""	""	""	""	"165"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"6"	""	""	""	""	""	""	"373"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"373"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"195"	""	"55"	""	""	"101"	""	""	""	"4"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"4"	""	""	""	""	""	""	"275"	""	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"24"	""	""	""	""	""	""	"498"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"498"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"Total"	""	"1244"	""	""	"797"	""	""	""	"40"	""	""	""	"28"	""	""	""	""	""	"37"	""	""	""	"30"	""	""	""	""	""	""	"4132"	""	""	""	""	""	"46"	""	""	""	""	""	""	"23"	""	""	""	""	""	"19"	""	""	""	""	""	"19"	""	""	""	""	"25"	""	""	""	""	""	""	""	"35"	""	""	""	""	""	"96"	""	""	""	""	""	""	"6571"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6571"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""
"296"	"of"	""	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	""	"VENNA   RAY"	""	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of"	""	""	""	""	""	""	""	""	""
"297"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""	""
"298"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""
"299"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""
"300"	"196"	""	"80"	""	""	"337"	""	""	""	"14"	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"81"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"550"	""	""	""	""	""	"0"	""	""	""	""	""	""	"550"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"197"	""	"147"	""	""	"221"	""	""	""	"11"	""	""	""	""	"5"	""	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	""	""	"102"	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"545"	""	""	""	""	""	"0"	""	""	""	""	""	""	"545"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"198"	""	"107"	""	""	"137"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	""	"120"	""	""	""	""	""	"6"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"409"	""	""	""	""	""	"0"	""	""	""	""	""	""	"409"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"199"	""	"236"	""	""	"10"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"8"	""	""	""	""	""	""	"157"	""	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"443"	""	""	""	""	""	"0"	""	""	""	""	""	""	"443"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"200"	""	"119"	""	""	"42"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"24"	""	""	""	""	"3"	""	""	""	""	""	""	"168"	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"54"	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"442"	""	""	""	""	""	"0"	""	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"201"	""	"128"	""	""	"177"	""	""	""	"14"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	""	""	"108"	""	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"474"	""	""	""	""	""	"0"	""	""	""	""	""	""	"474"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"202"	""	"95"	""	""	"210"	""	""	""	"8"	""	""	""	""	"5"	""	""	""	""	"14"	""	""	""	""	"1"	""	""	""	""	""	""	"147"	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"501"	""	""	""	""	""	"0"	""	""	""	""	""	""	"501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"203"	""	"95"	""	""	"16"	""	""	""	"17"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	"210"	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"375"	""	""	""	""	""	"0"	""	""	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"204"	""	"13"	""	""	"521"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"28"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"568"	""	""	""	""	""	"0"	""	""	""	""	""	""	"568"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"205"	""	"80"	""	""	"20"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	"125"	""	""	""	""	""	"8"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"276"	""	""	""	""	""	"0"	""	""	""	""	""	""	"276"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"206"	""	"70"	""	""	"5"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"145"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"237"	""	""	""	""	""	"0"	""	""	""	""	""	""	"237"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"207"	""	"68"	""	""	"74"	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	""	""	"287"	""	""	""	""	""	"7"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"483"	""	""	""	""	""	"0"	""	""	""	""	""	""	"483"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"208"	""	"10"	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	"456"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"492"	""	""	""	""	""	"0"	""	""	""	""	""	""	"492"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"209"	""	"103"	""	""	"10"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"448"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"32"	""	""	""	""	""	""	"602"	""	""	""	""	""	"0"	""	""	""	""	""	""	"602"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Total"	""	"1351"	""	""	"1780"	""	""	""	"94"	""	""	""	""	"34"	""	""	""	""	"79"	""	""	""	""	"31"	""	""	""	""	""	""	"2582"	""	""	""	""	""	"66"	""	""	""	""	""	""	"33"	""	""	""	""	""	""	"94"	""	""	""	""	"37"	""	""	""	""	""	"20"	""	""	""	""	""	""	"68"	""	""	""	""	""	""	"128"	""	""	""	""	""	""	"6397"	""	""	""	""	""	"0"	""	""	""	""	""	""	"6397"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"316"	"of"	""	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	""	"VENNA   RAY"	""	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of"	""	""	""	""	""	""	""	""
"317"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""
"318"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"319"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""
"320"	"210"	""	"157"	""	""	"18"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"10"	""	""	""	""	""	""	"202"	""	""	""	""	""	""	"11"	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"14"	""	""	""	""	""	""	"438"	""	""	""	""	""	""	"0"	""	""	""	""	""	"438"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"211"	""	"69"	""	""	"3"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	""	"462"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"544"	""	""	""	""	""	""	"0"	""	""	""	""	""	"544"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"212"	""	"211"	""	""	"17"	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	"10"	""	""	""	""	""	""	"252"	""	""	""	""	""	""	"10"	""	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"29"	""	""	""	""	""	""	"578"	""	""	""	""	""	""	"0"	""	""	""	""	""	"578"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"213"	""	"6"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	"647"	""	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"657"	""	""	""	""	""	""	"0"	""	""	""	""	""	"657"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"214"	""	"121"	""	""	"11"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	""	""	"268"	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"421"	""	""	""	""	""	""	"0"	""	""	""	""	""	"421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"215"	""	"42"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	"598"	""	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"645"	""	""	""	""	""	""	"0"	""	""	""	""	""	"645"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"216"	""	"209"	""	""	"14"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	"3"	""	""	""	""	""	""	"125"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	""	"377"	""	""	""	""	""	""	"0"	""	""	""	""	""	"377"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"217"	""	"111"	""	""	"8"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	"7"	""	""	""	""	""	""	"220"	""	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"11"	""	""	""	""	""	""	"385"	""	""	""	""	""	""	"0"	""	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"218"	""	"134"	""	""	"15"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"0"	""	""	""	""	""	""	"97"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	""	"267"	""	""	""	""	""	""	"0"	""	""	""	""	""	"267"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"219"	""	"143"	""	""	"8"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"9"	""	""	""	"3"	""	""	""	""	""	""	"581"	""	""	""	""	""	""	"15"	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"12"	""	""	""	""	""	""	"783"	""	""	""	""	""	""	"0"	""	""	""	""	""	"783"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"220"	""	"99"	""	""	"394"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	""	""	""	"69"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"577"	""	""	""	""	""	""	"0"	""	""	""	""	""	"577"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"221"	""	"85"	""	""	"39"	""	""	""	"11"	""	""	""	""	"5"	""	""	""	""	"8"	""	""	""	"4"	""	""	""	""	""	""	"306"	""	""	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"15"	""	""	""	""	""	""	"492"	""	""	""	""	""	""	"0"	""	""	""	""	""	"492"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"222"	""	"172"	""	""	"112"	""	""	""	"10"	""	""	""	""	"5"	""	""	""	""	"11"	""	""	""	"2"	""	""	""	""	""	""	"151"	""	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	"18"	""	""	""	""	""	""	"521"	""	""	""	""	""	""	"0"	""	""	""	""	""	"521"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"223"	""	"22"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	"587"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"612"	""	""	""	""	""	""	"0"	""	""	""	""	""	"612"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"Total"	""	"1581"	""	""	"640"	""	""	""	"42"	""	""	""	""	"25"	""	""	""	""	"69"	""	""	""	"49"	""	""	""	""	""	""	"4565"	""	""	""	""	""	""	"70"	""	""	""	""	""	"29"	""	""	""	""	""	""	"20"	""	""	""	""	""	"31"	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"42"	""	""	""	""	""	"119"	""	""	""	""	""	""	"7297"	""	""	""	""	""	""	"0"	""	""	""	""	""	"7297"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""
"336"	"of"	""	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	""	"VENNA   RAY"	""	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of"	""	""	""	""	""	""	""	""	""
"337"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""	""
