"ROUND...I...CUMMULATIVE"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"	"X..129"	"X..130"	"X..131"	"X..132"	"X..133"	"X..134"	"X..135"	"X..136"
"1389"	"57"	""	"8"	""	""	"53"	""	""	"8"	""	""	""	""	"30"	""	""	"2"	""	""	""	""	"63"	""	""	""	""	"2"	""	""	""	"33"	""	""	""	""	"5"	""	""	""	"3"	""	""	"59"	""	""	""	"7"	""	""	""	"56"	""	""	"3"	""	""	""	""	"4"	""	""	"12"	""	""	""	""	"12"	""	""	""	"6"	""	""	""	"7"	""	""	""	"3"	""	""	""	"5"	""	""	""	"11"	""	""	""	""	"8"	""	"14"	""	""	""	""	"67"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"20"	""	""	""	"508"	""	""	""	""	"0"	""	""	"508"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1390"	"58"	""	"3"	""	""	"13"	""	""	"4"	""	""	""	""	"8"	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	"9"	""	""	""	""	"5"	""	""	""	"2"	""	""	"129"	""	""	""	"2"	""	""	""	"41"	""	""	"6"	""	""	""	""	"3"	""	""	"13"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"2"	""	"2"	""	""	""	""	"15"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"55"	""	""	""	"335"	""	""	""	""	"0"	""	""	"335"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1391"	"59"	""	"38"	""	""	"111"	""	""	"147"	""	""	""	""	"231"	""	""	"10"	""	""	""	""	"26"	""	""	""	""	"10"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"2"	""	""	"57"	""	""	""	"9"	""	""	""	"15"	""	""	"4"	""	""	""	""	"2"	""	""	"8"	""	""	""	""	"7"	""	""	""	"2"	""	""	""	"6"	""	""	""	"6"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"2"	""	"1"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"720"	""	""	""	""	"0"	""	""	"720"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1392"	"60"	""	"4"	""	""	"12"	""	""	"1"	""	""	""	""	"142"	""	""	"3"	""	""	""	""	"36"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	"1"	""	""	""	"8"	""	""	""	"11"	""	""	"3"	""	""	""	""	"0"	""	""	"7"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	"7"	""	""	""	"4"	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"1"	""	"3"	""	""	""	""	"8"	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"9"	""	""	""	"293"	""	""	""	""	"0"	""	""	"293"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1393"	"61"	""	"11"	""	""	"149"	""	""	"185"	""	""	""	""	"106"	""	""	"7"	""	""	""	""	"21"	""	""	""	""	"10"	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"2"	""	""	"3"	""	""	""	"1"	""	""	""	"18"	""	""	"3"	""	""	""	""	"11"	""	""	"20"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"10"	""	""	""	"16"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"6"	""	"2"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"612"	""	""	""	""	"0"	""	""	"612"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1394"	"62"	""	"12"	""	""	"46"	""	""	"10"	""	""	""	""	"26"	""	""	"5"	""	""	""	""	"246"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"14"	""	""	""	"3"	""	""	"3"	""	""	""	"3"	""	""	""	"12"	""	""	"3"	""	""	""	""	"1"	""	""	"3"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"43"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"2"	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"451"	""	""	""	""	"0"	""	""	"451"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1395"	"63"	""	"6"	""	""	"40"	""	""	"2"	""	""	""	""	"2"	""	""	"1"	""	""	""	""	"345"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"7"	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"423"	""	""	""	""	"0"	""	""	"423"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1396"	"64"	""	"22"	""	""	"85"	""	""	"506"	""	""	""	""	"9"	""	""	"2"	""	""	""	""	"49"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	""	""	"1"	""	""	"9"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	"6"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"710"	""	""	""	""	"0"	""	""	"710"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1397"	"65"	""	"7"	""	""	"62"	""	""	"36"	""	""	""	""	"64"	""	""	"6"	""	""	""	""	"29"	""	""	""	""	"7"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	"4"	""	""	"6"	""	""	""	"8"	""	""	""	"134"	""	""	"7"	""	""	""	""	"6"	""	""	"36"	""	""	""	""	"5"	""	""	""	"3"	""	""	""	"7"	""	""	""	"0"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"0"	""	"1"	""	""	""	""	"27"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"45"	""	""	""	"527"	""	""	""	""	"0"	""	""	"527"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1398"	"66"	""	"21"	""	""	"16"	""	""	"104"	""	""	""	""	"293"	""	""	"8"	""	""	""	""	"47"	""	""	""	""	"7"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"3"	""	""	"2"	""	""	""	"2"	""	""	""	"100"	""	""	"3"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"1"	""	""	""	"24"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"3"	""	"1"	""	""	""	""	"19"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"8"	""	""	""	"684"	""	""	""	""	"0"	""	""	"684"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1399"	"67"	""	"8"	""	""	"113"	""	""	"14"	""	""	""	""	"155"	""	""	"7"	""	""	""	""	"34"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"2"	""	""	"3"	""	""	""	"7"	""	""	""	"51"	""	""	"4"	""	""	""	""	"5"	""	""	"41"	""	""	""	""	"4"	""	""	""	"4"	""	""	""	"5"	""	""	""	"22"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"2"	""	"1"	""	""	""	""	"9"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"146"	""	""	""	"662"	""	""	""	""	"0"	""	""	"662"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1400"	"68"	""	"1"	""	""	"3"	""	""	"158"	""	""	""	""	"54"	""	""	"3"	""	""	""	""	"58"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	"3"	""	""	""	"27"	""	""	"0"	""	""	""	""	"2"	""	""	"10"	""	""	""	""	"6"	""	""	""	"9"	""	""	""	"10"	""	""	""	"4"	""	""	""	"10"	""	""	""	"5"	""	""	""	""	"7"	""	"2"	""	""	""	""	"34"	""	""	""	"9"	""	""	""	""	"3"	""	""	""	"20"	""	""	""	"446"	""	""	""	""	"0"	""	""	"446"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1401"	"69"	""	"9"	""	""	"36"	""	""	"109"	""	""	""	""	"163"	""	""	"7"	""	""	""	""	"122"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"26"	""	""	"0"	""	""	""	""	"3"	""	""	"10"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	"7"	""	""	""	"2"	""	""	""	"8"	""	""	""	"1"	""	""	""	""	"2"	""	"5"	""	""	""	""	"17"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"552"	""	""	""	""	"0"	""	""	"552"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1402"	"70"	""	"16"	""	""	"36"	""	""	"298"	""	""	""	""	"15"	""	""	"4"	""	""	""	""	"19"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"11"	""	""	"1"	""	""	""	""	"0"	""	""	"5"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"422"	""	""	""	""	"0"	""	""	"422"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"1403"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1404"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1405"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1406"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1407"	"Election to the Legislative assembly from the 141-BARARI constituency.                                     Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1408"	"(To be used both for Parliamentary and Assembly elections                                                Total No. of Electors in Assembly constituency/Segment ............................. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1409"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	"No. of rejected votes"	""	""	"TOTAL"	""	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1410"	""	""	"ABDUL HAMID"	""	"MANSOOR ALAM"	""	""	""	"MUHAMMAD SAKUR"	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	"SITARA PARVIN"	""	""	""	""	"DINA YADAV"	""	""	""	"PABHAT KUMAR"	""	""	""	"PRAKASH GUPTA"	""	""	""	"PREMNATH JAISWAL"	""	""	""	""	"MOHAMMAD ISRAIL"	""	""	"VIMAL KUMAR MANDAL"	""	""	"SHAMBHU MAHALDAR"	""	""	""	"SAYOGITA SINGH"	""	""	"SURYANARAYAN SINGH"	""	""	"ARVIND KUMAR SINGH"	""	""	""	"KALYAN MITRA"	""	""	""	"KAILASH PODDAR"	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	"TANWEER"	""	""	""	"NIRAJ KUMAR KASHYAP"	""	""	""	"PARSHURAM PASWAN"	""	""	"YAMUNA PRASAD YADAV"	""	""	""	"RAJESHWAR CHOUDHARY"	""	""	"SAVIRURAHAMAN KHAN"	""	""	""	"SHIV PUJAN PASWAN"	""	""	"SANJAY SINGH"	""	""	""	"SAMSAD"	""	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1411"	"71"	""	"13"	""	"76"	""	""	""	"10"	""	""	""	"104"	""	""	"3"	""	""	""	""	"29"	""	""	""	"7"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"45"	""	""	"3"	""	""	"1"	""	""	""	"2"	""	""	""	"13"	""	""	""	"12"	""	""	""	"11"	""	""	""	"12"	""	""	""	"12"	""	""	"5"	""	""	""	"5"	""	""	"4"	""	""	""	"44"	""	""	"1"	""	""	""	"4"	""	""	""	""	"48"	""	""	""	"469"	""	""	"0"	""	""	"469"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1412"	"72"	""	"9"	""	"196"	""	""	""	"464"	""	""	""	"20"	""	""	"2"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"37"	""	""	"1"	""	""	"5"	""	""	""	"16"	""	""	"7"	""	""	"7"	""	""	""	"27"	""	""	""	"1"	""	""	""	"2"	""	""	""	"5"	""	""	""	"4"	""	""	""	"4"	""	""	"1"	""	""	""	"2"	""	""	"4"	""	""	""	"4"	""	""	"4"	""	""	""	"0"	""	""	""	""	"7"	""	""	""	"838"	""	""	"0"	""	""	"838"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1413"	"73"	""	"28"	""	"224"	""	""	""	"87"	""	""	""	"113"	""	""	"10"	""	""	""	""	"7"	""	""	""	"10"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"1"	""	""	"2"	""	""	"6"	""	""	""	"83"	""	""	"4"	""	""	"2"	""	""	""	"8"	""	""	""	"4"	""	""	""	"2"	""	""	""	"1"	""	""	""	"4"	""	""	""	"3"	""	""	"0"	""	""	""	"1"	""	""	"3"	""	""	""	"10"	""	""	"3"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"627"	""	""	"0"	""	""	"627"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1414"	"74"	""	"17"	""	"288"	""	""	""	"282"	""	""	""	"8"	""	""	"4"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"3"	""	""	"2"	""	""	"0"	""	""	""	"3"	""	""	"1"	""	""	"1"	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"624"	""	""	"0"	""	""	"624"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1415"	"75"	""	"19"	""	"116"	""	""	""	"86"	""	""	""	"52"	""	""	"2"	""	""	""	""	"10"	""	""	""	"10"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"20"	""	""	"72"	""	""	"5"	""	""	""	"158"	""	""	"2"	""	""	"1"	""	""	""	"11"	""	""	""	"6"	""	""	""	"4"	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"3"	""	""	""	"28"	""	""	"2"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"625"	""	""	"0"	""	""	"625"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1416"	"76"	""	"12"	""	"267"	""	""	""	"244"	""	""	""	"4"	""	""	"6"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"6"	""	""	"1"	""	""	"2"	""	""	""	"5"	""	""	"3"	""	""	"4"	""	""	""	"9"	""	""	""	"10"	""	""	""	"2"	""	""	""	"5"	""	""	""	"3"	""	""	""	"11"	""	""	"0"	""	""	""	"1"	""	""	"3"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"604"	""	""	"0"	""	""	"604"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1417"	"77"	""	"11"	""	"225"	""	""	""	"398"	""	""	""	"7"	""	""	"4"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"4"	""	""	"0"	""	""	"2"	""	""	""	"7"	""	""	"6"	""	""	"2"	""	""	""	"13"	""	""	""	"4"	""	""	""	"3"	""	""	""	"4"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"704"	""	""	"0"	""	""	"704"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1418"	"78"	""	"37"	""	"182"	""	""	""	"26"	""	""	""	"184"	""	""	"5"	""	""	""	""	"8"	""	""	""	"5"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"1"	""	""	"0"	""	""	"4"	""	""	""	"37"	""	""	"5"	""	""	"4"	""	""	""	"7"	""	""	""	"9"	""	""	""	"2"	""	""	""	"4"	""	""	""	"8"	""	""	""	"5"	""	""	"0"	""	""	""	"1"	""	""	"4"	""	""	""	"13"	""	""	"1"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"561"	""	""	"0"	""	""	"561"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1419"	"79"	""	"21"	""	"260"	""	""	""	"101"	""	""	""	"100"	""	""	"3"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"3"	""	""	"1"	""	""	"3"	""	""	""	"20"	""	""	"4"	""	""	"5"	""	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"548"	""	""	"0"	""	""	"548"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1420"	"80"	""	"5"	""	"63"	""	""	""	"33"	""	""	""	"143"	""	""	"13"	""	""	""	""	"34"	""	""	""	"7"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"2"	""	""	"1"	""	""	"5"	""	""	""	"64"	""	""	"8"	""	""	"4"	""	""	""	"12"	""	""	""	"6"	""	""	""	"10"	""	""	""	"14"	""	""	""	"6"	""	""	""	"15"	""	""	"8"	""	""	""	"6"	""	""	"8"	""	""	""	"59"	""	""	"13"	""	""	""	"10"	""	""	""	""	"13"	""	""	""	"567"	""	""	"0"	""	""	"567"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1421"	"81"	""	"8"	""	"97"	""	""	""	"21"	""	""	""	"272"	""	""	"10"	""	""	""	""	"78"	""	""	""	"7"	""	""	""	"2"	""	""	""	"10"	""	""	""	""	"3"	""	""	"4"	""	""	"10"	""	""	""	"51"	""	""	"9"	""	""	"9"	""	""	""	"26"	""	""	""	"5"	""	""	""	"3"	""	""	""	"4"	""	""	""	"4"	""	""	""	"1"	""	""	"7"	""	""	""	"4"	""	""	"2"	""	""	""	"15"	""	""	"6"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"676"	""	""	"0"	""	""	"676"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1422"	"82"	""	"9"	""	"32"	""	""	""	"3"	""	""	""	"163"	""	""	"10"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	"5"	""	""	""	"3"	""	""	""	""	"4"	""	""	"2"	""	""	"8"	""	""	""	"161"	""	""	"8"	""	""	"5"	""	""	""	"14"	""	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	""	"2"	""	""	"1"	""	""	""	"18"	""	""	"4"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	"479"	""	""	"0"	""	""	"479"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1423"	"83"	""	"7"	""	"76"	""	""	""	"4"	""	""	""	"169"	""	""	"9"	""	""	""	""	"80"	""	""	""	"3"	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"5"	""	""	"1"	""	""	"4"	""	""	""	"77"	""	""	"1"	""	""	"10"	""	""	""	"17"	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	"16"	""	""	"3"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"502"	""	""	"0"	""	""	"502"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1424"	"84"	""	"9"	""	"69"	""	""	""	"10"	""	""	""	"252"	""	""	"9"	""	""	""	""	"15"	""	""	""	"6"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"4"	""	""	"4"	""	""	"5"	""	""	""	"44"	""	""	"1"	""	""	"0"	""	""	""	"4"	""	""	""	"21"	""	""	""	"14"	""	""	""	"12"	""	""	""	"10"	""	""	""	"11"	""	""	"7"	""	""	""	"5"	""	""	"5"	""	""	""	"68"	""	""	"4"	""	""	""	"6"	""	""	""	""	"22"	""	""	""	"621"	""	""	"0"	""	""	"621"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1425"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	"No. of rejected votes"	""	""	"TOTAL"	""	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
