"Election.to.the.Bihar.Legislative.Assembly.from.the.232.Gaya.Town.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"256"	"157"	"241"	""	""	""	"24"	""	""	"162"	""	""	""	"9"	""	""	""	""	""	"12"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"485"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"158"	"396"	""	""	""	"20"	""	""	"139"	""	""	""	"7"	""	""	""	""	""	"7"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"14"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"628"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"628"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"159"	"235"	""	""	""	"44"	""	""	"187"	""	""	""	"10"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"147"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"90"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"752"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"752"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"160"	"196"	""	""	""	"14"	""	""	"255"	""	""	""	"38"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"13"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"540"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"540"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"161"	"110"	""	""	""	"9"	""	""	"215"	""	""	""	"8"	""	""	""	""	""	"7"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"21"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"408"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"408"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"162"	"107"	""	""	""	"14"	""	""	"269"	""	""	""	"25"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"15"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"465"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"465"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"163"	"116"	""	""	""	"14"	""	""	"143"	""	""	""	"15"	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"322"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"164"	"326"	""	""	""	"17"	""	""	"102"	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"481"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"481"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"165"	"216"	""	""	""	"24"	""	""	"94"	""	""	""	"54"	""	""	""	""	""	"32"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"449"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"449"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Total"	"3014"	""	""	""	"272"	""	""	"2213"	""	""	""	"507"	""	""	""	""	""	"110"	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	"55"	""	""	""	""	""	""	""	"32"	""	""	""	""	""	"307"	""	""	""	""	""	""	"75"	""	""	""	""	""	""	""	"373"	""	""	""	""	""	""	""	"81"	""	""	""	""	""	""	"43"	""	""	""	""	""	""	""	"103"	""	""	""	""	""	""	"7205"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"7205"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""
"267"	"of"	""	"PREM KUMAR"	""	""	"DR. BHIM SINGH YADAV"	""	""	""	"MASOOD MANJAR"	""	""	""	"LALITA DEVI"	""	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""
"268"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""
"269"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""
"271"	"166"	""	"227"	""	""	"10"	""	""	""	"179"	""	""	""	"11"	""	""	""	""	""	"38"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"531"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"531"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"167"	""	"380"	""	""	"14"	""	""	""	"94"	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"22"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"16"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"31"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"578"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"578"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"168"	""	"215"	""	""	"18"	""	""	""	"128"	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"407"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"407"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"169"	""	"91"	""	""	"13"	""	""	""	"146"	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"9"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"289"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"289"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"170"	""	"180"	""	""	"23"	""	""	""	"154"	""	""	""	"2"	""	""	""	""	""	"9"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"401"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"171"	""	"192"	""	""	"18"	""	""	""	"220"	""	""	""	"25"	""	""	""	""	""	"71"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"31"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"597"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"597"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"172"	""	"251"	""	""	"14"	""	""	""	"181"	""	""	""	"8"	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"49"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"552"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"552"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"173"	""	"306"	""	""	"10"	""	""	""	"140"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"13"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"510"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"510"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"174"	""	"36"	""	""	"2"	""	""	""	"54"	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"105"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"105"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"174(Ka)"	""	"56"	""	""	"5"	""	""	""	"30"	""	""	""	"15"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"121"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"121"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"175"	""	"227"	""	""	"5"	""	""	""	"398"	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"674"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"674"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"176"	""	"282"	""	""	"43"	""	""	""	"303"	""	""	""	"98"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"802"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"802"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"177"	""	"206"	""	""	"21"	""	""	""	"92"	""	""	""	"60"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"453"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"453"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"178"	""	"291"	""	""	"21"	""	""	""	"133"	""	""	""	"14"	""	""	""	""	""	"29"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"12"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"149"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"719"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"719"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Total"	""	"2940"	""	""	"217"	""	""	""	"2252"	""	""	""	"263"	""	""	""	""	""	"171"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""	"76"	""	""	""	""	""	""	"86"	""	""	""	""	""	""	"80"	""	""	""	""	""	"54"	""	""	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	"127"	""	""	""	""	""	""	"34"	""	""	""	""	""	""	""	"67"	""	""	""	""	""	""	"6739"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6739"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"287"	"of"	""	"PREM KUMAR"	""	""	"DR. BHIM SINGH YADAV"	""	""	""	"MASOOD MANJAR"	""	""	""	""	"LALITA DEVI"	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of"	""	""	""	""	""	""	""	""
"288"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""
"289"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"290"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""
"291"	"179"	""	"414"	""	""	"49"	""	""	""	"155"	""	""	""	""	"13"	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"22"	""	""	""	""	""	""	"118"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"80"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"878"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"878"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"180"	""	"371"	""	""	"16"	""	""	""	"47"	""	""	""	""	"10"	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"181"	""	"199"	""	""	"13"	""	""	""	"84"	""	""	""	""	"140"	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"50"	""	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	""	"559"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"559"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"182"	""	"127"	""	""	"14"	""	""	""	"129"	""	""	""	""	"103"	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"72"	""	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"40"	""	""	""	""	""	""	""	"522"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"182(Ka)"	""	"178"	""	""	"9"	""	""	""	"114"	""	""	""	""	"42"	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"81"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"75"	""	""	""	""	""	""	""	"507"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"507"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"183"	""	"198"	""	""	"7"	""	""	""	"87"	""	""	""	""	"69"	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"52"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"184"	""	"814"	""	""	"5"	""	""	""	"13"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"183"	""	""	""	""	""	""	""	"1033"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1033"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"185"	""	"71"	""	""	"3"	""	""	""	"46"	""	""	""	""	"95"	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
