"ELECTION.TO.THE.HOUSE.OF.THE.PEOPLE.FROM.THE.33..BUXAR.CONSTITUENCY.PART.I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"
"455"	"10"	""	"450"	""	""	""	"0"	""	""	"8"	""	""	"1"	""	""	""	""	"2"	""	""	"1"	""	""	""	""	"4"	""	""	"3"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"474"	""	""	""	""	""	""	""	""	""
"456"	"11"	""	"440"	""	""	""	"1"	""	""	"18"	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	"·o"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"463"	""	""	""	""	""	""	""	""	""
"457"	"12"	""	"485"	""	""	""	"1"	""	""	"14"	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"504"	""	""	""	""	""	""	""	""	""
"458"	"13"	""	"580"	""	""	""	"3"	""	""	"28"	""	""	"1"	""	""	""	""	"3"	""	""	"0"	""	""	""	""	"2"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"618"	""	""	""	""	""	""	""	""	""
"459"	"14"	""	"365"	""	""	""	"1"	""	""	"9"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""
"460"	"15"	""	"605"	""	""	""	"0"	""	""	"10"	""	""	"3"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"619"	""	""	""	""	""	""	""	""	""
"461"	"16"	""	"367"	""	""	""	"1"	""	""	"2"	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"2"	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"377"	""	""	""	""	""	""	""	""	""
"462"	"17"	""	"328"	""	""	""	"3"	""	""	"17"	""	""	"2"	""	""	""	""	"4"	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	""
"463"	"18"	""	"382"	""	""	""	"3"	""	""	"22"	""	""	"3"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""
"464"	"19"	""	"661"	""	""	""	"3"	""	""	"49"	""	""	"6"	""	""	""	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"733"	""	""	""	""	""	""	""	""	""
"465"	"20"	""	"227"	""	""	""	"0"	""	""	"5"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"234"	""	""	""	""	""	""	""	""	""
"466"	"21"	""	"390"	""	""	""	"6"	""	""	"95"	""	""	"5"	""	""	""	""	"4"	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"506"	""	""	""	""	""	""	""	""	""
"467"	"22"	""	"434"	""	""	""	"7"	""	""	"15"	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"2"	""	""	"3"	""	""	""	"3"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"465"	""	""	""	""	""	""	""	""	""
"468"	"23"	""	"445"	""	""	""	"0"	""	""	"36"	""	""	"6"	""	""	""	""	"4"	""	""	"5"	""	""	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"500"	""	""	""	""	""	""	""	""	""
"469"	"24"	""	"265"	""	""	""	"0"	""	""	"17"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"284"	""	""	""	""	""	""	""	""	""
"470"	"25"	""	"317"	""	""	""	"1"	""	""	"14"	""	""	"0"	""	""	""	""	"0"	""	""	"3"	""	""	""	""	"0"	""	""	". 0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"335"	""	""	""	""	""	""	""	""	""
"471"	"26"	""	"607"	""	""	""	"4"	""	""	"33"	""	""	"12"	""	""	""	""	"0"	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"660"	""	""	""	""	""	""	""	""	""
"472"	"27"	""	"335"	""	""	""	"0"	""	""	"7"	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"343"	""	""	""	""	""	""	""	""	""
"473"	"28"	""	"610"	""	""	""	"1"	""	""	"36"	""	""	"2"	""	""	""	""	"3"	""	""	"3'"	""	""	""	"-."	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"656"	""	""	""	""	""	""	""	""	""
"474"	"29"	""	"399"	""	""	""	"0"	""	""	"5"	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"406"	""	""	""	""	""	""	""	""	""
"475"	"30"	""	"5J>5"	""	""	""	"0"	""	""	"19"	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"3"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"590"	""	""	""	""	""	""	""	""	""
"476"	"31"	""	"."	"··:o00"	""	""	"5"	""	""	"27"	""	""	"5"	""	""	""	""	"3"	""	""	"2"	""	""	""	""	"2"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"653"	""	""	""	""	""	""	""	""	""
"477"	"32·"	"··:"	""	"249"	""	""	"2"	""	""	"150"	""	""	"7"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"410"	""	""	""	""	""	""	""	""	""
"478"	"33"	""	"250"	""	""	""	"0"	""	""	"137"	""	""	"10"	""	""	""	""	"1"	""	""	"2"	""	""	""	""	"1"	""	""	"7"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"408"	""	""	""	""	""	""	""	""	""
"479"	"34"	""	"324"	""	""	""	"2"	""	""	"45"	""	""	"5"	""	""	""	""	"2"	""	""	"2"	""	""	""	""	"4"	""	""	"4"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"389"	""	""	""	""	""	""	""	""	""
"480"	"35"	""	"494"	""	""	""	"5"	""	""	"58"	""	""	"3"	""	""	""	""	"3"	""	""	"6"	""	""	""	""	"2"	""	""	"1"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"579"	""	""	""	""	""	""	""	""	""
"481"	"36"	""	"366"	""	""	""	"3"	""	""	"18"	""	""	"8"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"397"	""	""	""	""	""	""	""	""	""
"482"	"37"	""	"492"	""	""	""	"1"	""	""	"26"	""	""	"5"	""	""	""	""	"11"	""	""	"3"	""	""	""	""	"2"	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"545"	""	""	""	""	""	""	""	""	""
"483"	"38"	""	"556"	""	""	""	"0"	""	""	"34"	""	""	"8"	""	""	""	""	"8"	""	""	"6"	""	""	""	""	"6"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"639"	""	""	""	""	""	""	""	""	""
"484"	"0.39"	""	"459"	""	""	""	"1"	""	""	"28"	""	""	"3"	""	""	""	""	"3"	""	""	"7"	""	""	""	""	"5"	""	""	"4"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"515"	""	""	""	""	""	""	""	""	""
"485"	"40"	""	"312"	""	""	""	"1"	""	""	"14"	""	""	"3"	""	""	""	""	"3"	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"335"	""	""	""	""	""	""	""	""	""
"486"	"41"	""	"97"	""	""	""	"0"	""	""	"3"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"101"	""	""	""	""	""	""	""	""	""
"487"	"42"	""	"321"	""	""	""	"0"	""	""	"19"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""
"488"	"43"	""	"281"	""	""	""	"0"	""	""	"21"	""	""	"1"	""	""	""	""	"0"	""	""	"2"	""	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""
"489"	"44"	""	"595"	""	""	""	"6"	""	""	"31"	""	""	"3"	""	""	""	""	"3"	""	""	"1"	""	""	""	""	"3"	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"647"	""	""	""	""	""	""	""	""	""
"490"	"45"	""	"484"	""	""	""	"0"	""	""	"21"	""	""	"1"	""	""	""	""	"6"	""	""	"6"	""	""	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"525"	""	""	""	""	""	""	""	""	""
"491"	"46"	""	"392"	""	""	""	"3"	""	""	"34"	""	""	"1"	""	""	""	""	"1"	""	""	"6"	""	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"440"	""	""	""	""	""	""	""	""	""
"492"	"47"	""	"303"	""	""	""	"0"	""	""	"25"	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"4"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"335"	""	""	""	""	""	""	""	""	""
"493"	"48"	""	"323"	""	""	""	"2"	""	""	"43"	""	""	"3"	""	""	""	""	"3"	""	""	"3"	""	""	""	""	"2"	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""
"494"	"49"	""	"311"	""	""	""	"0"	""	""	"42"	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	""
"495"	"50"	""	"399"	""	""	""	"3"	""	""	"135"	""	""	"5"	""	""	""	""	"0"	""	""	"2"	""	""	""	""	"2"	""	""	"0"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"550"	""	""	""	""	""	""	""	""	""
"496"	"51"	""	"492"	""	""	""	"4"	""	""	"32"	""	""	"1"	""	""	""	""	"0"	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"537"	""	""	""	""	""	""	""	""	""
"497"	"52"	""	"557"	""	""	""	"2"	""	""	"42"	""	""	"1"	""	""	""	""	"8"	""	""	"7"	""	""	""	""	"2"	""	""	"2"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"624"	""	""	""	""	""	""	""	""	""
"498"	"53"	""	"317"	""	""	""	"0"	""	""	"28"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"347"	""	""	""	""	""	""	""	""	""
"499"	"54"	""	"304"	""	""	""	"3"	""	""	"97"	""	""	"4"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"414"	""	""	""	""	""	""	""	""	""
"500"	"55"	""	"361"	""	""	""	"2"	""	""	"7"	""	""	"3"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"373"	""	""	""	""	""	""	""	""	""
"501"	"56"	""	"338"	""	""	""	"2"	""	""	"11"	""	""	"0"	""	""	""	""	"0"	""	""	"3"	""	""	""	""	"1"	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"357"	""	""	""	""	""	""	""	""	""
"502"	"57"	""	"309"	""	""	""	"0"	""	""	"14"	""	""	"7"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"334"	""	""	""	""	""	""	""	""	""
"503"	"58"	""	"423"	""	""	""	"3"	""	""	"103"	""	""	"3"	""	""	""	""	"6"	""	""	"4"	""	""	""	""	"3"	""	""	"5"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"553"	""	""	""	""	""	""	""	""	""
"504"	"59"	""	"299"	""	""	""	"0"	""	""	"67"	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	""
"505"	"60"	""	"678"	""	""	""	"4"	""	""	"50"	""	""	"1"	""	""	""	""	"10"	""	""	"1"	""	""	""	""	"1"	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"749"	""	""	""	""	""	""	""	""	""
"506"	"61"	""	"574"	""	""	""	"1"	""	""	"12"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"587"	""	""	""	""	""	""	""	""	""
"507"	"62"	""	"259"	""	""	""	"1"	""	""	"12"	""	""	"0"	""	""	""	""	"0"	""	""	"3"	""	""	""	""	"3"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"279"	""	""	""	""	""	""	""	""	""
"508"	"63"	""	"624"	""	""	""	"3"	""	""	"12"	""	""	"6"	""	""	""	""	"0"	""	""	"4"	""	""	""	""	"1"	""	""	"6"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"658"	""	""	""	""	""	""	""	""	""
"509"	"64"	""	"273"	""	""	""	"0"	""	""	"77"	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""
"510"	".."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"511"	"Print'!!!_ UsinRRO/AROCountinR Tpo/ Ver. 1.0 of National Informatics Centre.Bihar                                                                                                           Pge I   f  4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"512"	", 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"513"	"1111"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"514"	"\"'-·"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"515"	"-ency ,33-BUXAR                                                                                                                 Form-20  (Part-1-B)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"516"	"y          ituency :200··Buxar                                                                                                                              No of Voters :206973"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"517"	"Catididate's Name
----->
BOOTH
.N..O
:.
v"	""	"e
0  ,-.
.!:::  <
I
'Q  ....
.\".' ....!..
... !\"::=',
.s
::, r\"\"
e o
l:Q  E-<"	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"518"	""	""	""	""	""	""	">-"	""	""	":c
zc.,         c
en
<z
c
<
0"	""	""	""	"5
w"	""	""	""	""	"...
0z
<
Q.
z
j
:::,
:c
Q."	""	""	"z"	""	""	""	"z
z<
Q.
::,
z :::C:::
j
...J  I-
j"	""	""	""	"0
><-
z
:<c
(.)
>::;:"	""	""	""	"<
:::!:
:::,
::.::: >-
:::! w
Z  ID
::,  :::,
en o"	""	""	""	"D::
<
:::!:
::,
::.:::
o _
ffi
::, :<c
en ID"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Ill
..C..I.I.
0
>
:E
\"iii
0
I-"	""	""	""	""	""	""	""	""
"519"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<en
a.."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"521"	""	""	""	""	""	""	":c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"522"	""	""	""	""	""	""	"c.,
ezn
<-,"	""	""	""	""	""	""	"m
Q."	""	""	""	""	""	""	""	"0z
w-,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"523"	"l"	""	"15"	""	""	""	"16"	""	""	"17"	""	""	""	"18"	""	""	""	""	"19"	""	""	"LU"	""	""	""	"21"	""	""	""	"en 22"	""	""	""	"23"	""	""	""	"24"	""	""	""	"25"	""	""	""	"LC>"	""	""	""	""	"27"	""	""	"28"	""	""	""	""	""	""	""	""
"524"	"65"	""	"509"	""	""	""	"3"	""	""	"34"	""	""	""	"4"	""	""	""	""	"10"	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"571"	""	""	""	""	""	""	""	""
"525"	"66"	""	"526"	""	""	""	"1"	""	""	"50"	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"583"	""	""	""	""	""	""	""	""
"526"	"67"	""	"318"	""	""	""	"0"	""	""	"22"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"340"	""	""	""	""	""	""	""	""
"527"	"68"	""	"414"	""	""	""	"3"	""	""	"11"	""	""	""	"3"	""	""	""	""	"4"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"437"	""	""	""	""	""	""	""	""
"528"	"69"	""	"520"	""	""	""	"3"	""	""	"62"	""	""	""	"10"	""	""	""	""	"3"	""	""	"3"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"609"	""	""	""	""	""	""	""	""
"529"	"70"	""	"371"	""	""	""	"4"	""	""	"62"	""	""	""	"11"	""	""	""	""	"3"	""	""	"4"	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"463"	""	""	""	""	""	""	""	""
"530"	"71"	""	"509"	""	""	""	"4"	""	""	"r·   71"	""	""	""	"14"	""	""	""	""	"4"	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"608"	""	""	""	""	""	""	""	""
"531"	"72"	""	"494"	""	""	""	"7"	""	""	"34"	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	"4"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"544"	""	""	""	""	""	""	""	""
"532"	"73"	""	"344"	""	""	""	"0"	""	""	"53"	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"399"	""	""	""	""	""	""	""	""
"533"	"74"	""	"220"	""	""	""	"0"	""	""	"4"	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"227"	""	""	""	""	""	""	""	""
"534"	"75"	""	"343"	""	""	""	"6"	""	""	"50"	""	""	""	"18"	""	""	""	""	"4"	""	""	"4"	""	""	""	"13"	""	""	""	"12"	""	""	""	"r"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"454"	""	""	""	""	""	""	""	""
"535"	"76"	""	"150"	""	""	""	"0"	""	""	"18"	""	""	""	"1"	""	""	""	""	"0"	""	""	"2"	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"174"	""	""	""	""	""	""	""	""
"536"	"77"	""	"203"	""	""	""	"0"	""	""	"16"	""	""	""	"12"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"234"	""	""	""	""	""	""	""	""
"537"	"78"	""	"186"	""	""	""	"0"	""	""	"37"	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"225"	""	""	""	""	""	""	""	""
"538"	"79"	""	"278"	""	""	""	"0"	""	""	"6"	""	""	""	"5"	""	""	""	""	"0"	""	""	"."	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"289"	""	""	""	""	""	""	""	""
"539"	"80"	""	"452"	""	""	""	"0"	""	""	"38"	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"493"	""	""	""	""	""	""	""	""
"540"	"81"	""	"310"	""	""	""	"1"	""	""	"86"	""	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"401"	""	""	""	""	""	""	""	""
"541"	"82"	""	"375"	""	""	""	"2"	""	""	"41"	""	""	""	"3"	""	""	""	""	"3"	""	""	"3"	""	""	""	"4"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""
