"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"
"509"	"·36              87             1          159            5             1            0             0              0             0             1                                                       254"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"510"	"37               462             2           60             1             2            0             0              0             0             0                                                       527"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"511"	"38               275             4          147          21             0           13             2              0             0             2                                                       464"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"512"	"39               222             6          267            6             0             1             1            0             1             1                                                      505"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"513"	"40               423             3          118            4             0            0             2              1             0             1                                                       552"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"514"	"41                248             4          124             0             0            4             1            0             0             0                                                       381"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"515"	"42               272             3          207            9             7            2             1             1            0             1                                                      503"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"516"	"43               119            7          182           16             0            0             1            0             0             1                                                       326"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"517"	"44             328            5          198           11            0            0             3             1             0             0                                                       546"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"518"	"45               309            8           32            9             3            2             7             3             0             6                                                      379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"519"	"46                159            5          176            5             1            0             0              0             0             0                                                       346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"520"	"47               487             5          158            4             0             1             1            3             1             0                                                       660"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"521"	"48               168             2          179            4             2             2             1             1             2             4                                                       365"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"522"	"49               184             3         275            5             2            3                            0             4             4                                                       481"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"523"	"42            0             3            1             0            10             1             1                                                      325"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"524"	"50               267             0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"525"	"51                 91             1           76            0             0            0             0             0             0             0                                                       168"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"526"	"52               397             3          123            6             0            0             1            2             0             0                                                       532"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"527"	"53               375             6          100            0             2            1            7              6             4             1                                                       502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"528"	"54               304            4           89            5             3            0             3             0             0             0                                                       408"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"529"	"55               390             2          176           11             3            1           13             1             0             1                                                       598"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"530"	"56                54             3         479           14             3            1            2              1             2             1                                                       560"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"531"	"57               519             7          270           21             4            2             4              0             1             3                                                      831"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"532"	"58               286             3           81            3             1            6             1             0             0             0                                                       381"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"533"	"59               216             0          126             0             1            1             2             3             1             2                                                       352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"534"	"60               421             5           64           10             0            3             1            0             0             0                                                       504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"535"	"61               375             4           76            4             2            0             4              4             7             2                                                       478"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"536"	"62     296            0           29            1             0            5            0            0             0            0                                                       331"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"537"	"63               282             2          155           13             0            0             3             1             0             0                                                       456"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"538"	"64                160             2           96             4             1            2             0             0             0             1                                                      266"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"539"	"Printed Us/nl{ RO/AROCount/nl{ Tool Yer. 1.0 of National Informatics  Centre,Bihar                                                                                                        Page 1 o/ 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"540"	"onstituency :33-BUXAR                                                                                                           Form-20  (Part-1-B)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"541"	"C•o.nstituency :202---Rajpur (SC)                                                                                                    No of Voters :230773"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"542"	"didates
Name
---->
BOOTH
NO
I
I I I
v"	""	""	""	"e
0  .....
.: <
\"O  ..!.
t:
.... e::,
=I: 0
="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of v: lidvotes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	".C.l.)
G>
::!:!
c..i.i
0
t-"	""	""	""	""	""	""	""	""	""
"543"	""	""	""	""	""	""	""	""	""	"Q
::c
(!)
z
U)
<-,"	""	""	""	""	""	"::c
Cz>
U)
Q
<
Q"	""	""	""	""	""	"Q
<:c
m
Q."	""	""	""	""	""	"!::
Q
z
z
:::>
::c
Q."	""	""	""	""	""	""	"z
(/)
<
Q.
Q
z
w
·"	""	""	""	"z
<z
a..
:::>
It:
i
:si"	""	""	""	"z
:<c
0"	""	""	""	""	""	"It:
:::>
it
z m
::::, ::::,
(/)  Q"	""	""	""	""	"Ct::
<:::e
:::>
C  -
i
::::, :c
<n m"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"544"	"1"	""	""	""	"15"	""	""	""	""	"l(>"	""	""	""	""	""	"r,"	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	"20"	""	""	""	"21"	""	""	""	"<n LL"	""	""	""	""	""	"L,j"	""	""	""	""	"24"	""	""	""	""	"L\"I"	""	""	""	"LO"	""	""	"'l.'/"	""	""	"28"	""	""	""	""	""	""	""	""	""
"545"	"65"	""	""	""	"145"	""	""	""	""	"2"	""	""	""	""	""	"74"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"224"	""	""	""	""	""	""	""	""	""
"546"	"66"	""	""	""	"68"	""	""	""	""	"1"	""	""	""	""	""	"133"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"207"	""	""	""	""	""	""	""	""	""
"547"	"67"	""	""	""	"143"	""	""	""	""	"1"	""	""	""	""	""	"29"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"179"	""	""	""	""	""	""	""	""	""
"548"	"68"	""	""	""	"267"	""	""	""	""	"1"	""	""	""	""	""	"181"	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"457"	""	""	""	""	""	""	""	""	""
"549"	"69"	""	""	""	"270"	""	""	""	""	"5"	""	""	""	""	""	"190"	""	""	""	""	""	"27"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"494"	""	""	""	""	""	""	""	""	""
"550"	"70"	""	""	""	"372"	""	""	""	""	"2"	""	""	""	""	""	"28"	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""
"551"	"71"	""	""	""	"355"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"9"	""	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	""
"552"	"72"	""	""	""	"102"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"48"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"151"	""	""	""	""	""	""	""	""	""
"553"	"73"	""	""	""	"121"	""	""	""	""	"1"	""	""	""	""	""	"73"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"196"	""	""	""	""	""	""	""	""	""
"554"	"74"	""	""	""	"323"	""	""	""	""	"0"	""	""	""	""	""	"62"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"398"	""	""	""	""	""	""	""	""	""
"555"	"75 ·"	""	""	""	"279"	""	""	""	""	"7"	""	""	""	""	""	"157"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""
"556"	"76"	""	""	""	"380"	""	""	""	""	"3"	""	""	""	""	""	"35"	""	""	""	""	""	"12"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"433"	""	""	""	""	""	""	""	""	""
"557"	"77"	""	""	""	"269"	""	""	""	""	"2"	""	""	""	""	""	"127"	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"406"	""	""	""	""	""	""	""	""	""
"558"	"78"	""	""	""	"303"	""	""	""	""	"2"	""	""	""	""	""	"20"	""	""	""	""	""	"10"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"340"	""	""	""	""	""	""	""	""	""
