"X...................................................................Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"
"494"	"..."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"495"	"<-:         <("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"496"	":::c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"497"	"(!)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"498"	"ci>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"499"	"w                          0..                0..                 >-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"500"	"<("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"501"	"<(                 ::II::"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"502"	"BOOTH       O  e:,    >-              z                         Q."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"503"	"::::,,              z           :Ii:                                                                               cu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"504"	":::c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"505"	",x:    i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"506"	"::::,                                                                                           >"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"507"	".    ::, E-                        0                                   ::::,              -,            _,  I-         (.)                     :z: ID         ,x: <(                                                                                      -0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"508"	"NO         .c  <     z           :z:          a,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"509"	"z          0               z: ::II::                          ::II::  >-        0  -"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"510"	"j                                                                  ffi Ii:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"511"	"i              ci>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"512"	"-,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"513"	"E-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"514"	"<(                                                               w                          :c                w"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"515"	"<(                                            :::c                                                       ::::, ::::,         ::::, :c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"516"	"0               0..                Q.                                                                             !p                   U>  O         U)  ID"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"517"	"...."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"518"	"I"	""	""	""	"15"	""	""	""	""	"16"	""	""	"17"	""	""	""	""	"18"	""	""	""	""	"19"	""	""	""	""	""	""	".Ill"	""	""	""	"21"	""	""	""	""	""	"U)  77"	""	""	""	"7"	""	""	""	"-.,A           25                          1./"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	""
"519"	"65"	""	""	""	"370"	""	""	""	""	"7"	""	""	"87"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"48("	""	""	""	""	""	""	""	""
"520"	"66"	""	""	""	"504"	""	""	""	""	"2"	""	""	"28"	""	""	""	""	"6"	""	""	""	""	"8"	""	""	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"55"	""	""	""	""	""	""	""	""
"521"	"67"	""	""	""	"642"	""	""	""	""	"3"	""	""	"49"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"71"	""	""	""	""	""	""	""	""
"522"	"68"	""	""	""	"502"	""	""	""	""	"14"	""	""	"244"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	"10"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"78"	""	""	""	""	""	""	""	""
"523"	"69"	""	""	""	"289"	""	""	""	""	"2"	""	""	"59"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""
"524"	"70"	""	""	""	"382"	""	""	""	""	"1"	""	""	"31"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"42t"	""	""	""	""	""	""	""	""
"525"	"71"	""	""	""	"527"	""	""	"     "	""	"2"	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"54t"	""	""	""	""	""	""	""	""
"526"	"72"	""	""	""	"698"	""	""	""	""	"0"	""	""	"13"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"72!"	""	""	""	""	""	""	""	""
"527"	"73  "	""	""	""	" 290"	""	""	""	""	"6"	""	""	"81"	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"40•"	""	""	""	""	""	""	""	""
"528"	"74"	""	""	""	"305"	""	""	""	""	"3"	""	""	"183"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"50!"	""	""	""	""	""	""	""	""
"529"	"75"	""	""	""	"668"	""	""	""	""	"5"	""	""	"94"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"771"	""	""	""	""	""	""	""	""
"530"	"76"	""	""	""	"279"	""	""	""	""	"7"	""	""	"30"	""	""	""	""	"8"	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"34"	""	""	""	""	""	""	""	""
"531"	" 77  "	""	""	""	"167"	""	""	""	""	"1"	""	""	"30"	""	""	""	""	"1"	""	""	""	""	"2 ,"	""	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"21("	""	""	""	""	""	""	""	""
"532"	"78"	""	""	""	"381"	""	""	""	""	"5"	""	""	"147"	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	"4"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"55t"	""	""	""	""	""	""	""	""
"533"	"79"	""	""	""	"454"	""	""	""	""	"2"	""	""	"11"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"471"	""	""	""	""	""	""	""	""
"534"	"80"	""	""	""	"330"	""	""	""	""	"2"	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"34!"	""	""	""	""	""	""	""	""
"535"	"81"	""	""	""	"222"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"22E"	""	""	""	""	""	""	""	""
"536"	"82"	""	""	""	"   558"	""	""	""	""	"2"	""	""	"20"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"58•"	""	""	""	""	""	""	""	""
"537"	"83"	""	""	""	"405"	""	""	""	""	"1"	""	""	"14"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"42"	""	""	""	""	""	""	""	""
"538"	"84"	""	""	""	"498"	""	""	""	""	"0"	""	""	"5"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"50!"	""	""	""	""	""	""	""	""
"539"	"85"	""	""	""	"349"	""	""	""	""	"0"	""	""	"94"	""	""	""	""	"9"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"45!"	""	""	""	""	""	""	""	""
"540"	"86"	""	""	""	"551"	""	""	""	""	"4"	""	""	"55"	""	""	""	""	"13"	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"62E"	""	""	""	""	""	""	""	""
"541"	"87"	""	""	""	"575"	""	""	""	""	"4"	""	""	"94"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	"0.2"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"69!"	""	""	""	""	""	""	""	""
"542"	"88"	""	""	""	"501"	""	""	""	""	"4"	""	""	"17"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"53"	""	""	""	""	""	""	""	""
"543"	"89"	""	""	""	"572"	""	""	""	""	"10"	""	""	"29"	""	""	""	""	"13"	""	""	""	""	"8"	""	""	""	""	""	""	"6"	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	"6"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"651"	""	""	""	""	""	""	""	""
"544"	"90"	""	""	""	"237"	""	""	""	""	"1"	""	""	"76"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"32"	""	""	""	""	""	""	""	""
"545"	"91"	""	""	""	"846"	""	""	""	""	"5"	""	""	"18"	""	""	""	""	"19"	""	""	""	""	"4"	""	""	""	""	""	""	"11"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"90!"	""	""	""	""	""	""	""	""
"546"	"92"	""	""	""	"365"	""	""	""	""	"0"	""	""	"9"	""	""	""	""	"2"	""	""	""	""	"' 3"	""	""	""	""	""	""	"1"	""	""	""	"     0"	""	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"38!"	""	""	""	""	""	""	""	""
"547"	"93"	""	""	""	"522"	""	""	""	""	"2"	""	""	"48"	""	""	""	""	"18"	""	""	""	""	"10 '"	""	""	""	""	""	""	"5"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"60!"	""	""	""	""	""	""	""	""
"548"	"94"	""	""	""	"470"	""	""	""	""	"2"	""	""	"8"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"484"	""	""	""	""	""	""	""	""
"549"	"95"	""	""	""	"714"	""	""	""	""	"6"	""	""	"90"	""	""	""	""	"17"	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	""	"14"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"85"	""	""	""	""	""	""	""	""
"550"	"96"	""	""	""	"508"	""	""	""	""	"3"	""	""	"195"	""	""	""	""	"10"	""	""	""	""	"1"	""	""	""	""	""	""	"3,,"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"721"	""	""	""	""	""	""	""	""
"551"	"97
98
99"	""	""	""	"572
319
.  ;387"	""	""	""	""	"4
1
3"	""	""	"122
130
107"	""	""	""	""	"16
5
14"	""	""	""	""	"0
1
1"	""	""	""	""	""	""	"3
1
1"	""	""	""	"1
0
0"	""	""	""	""	""	"1
0
0"	""	""	""	"0
0
2"	""	""	""	"0
2
2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"rn
45!
51"	""	""	""	""	""	""	""	""
"552"	"100"	""	""	""	"402"	""	""	""	""	"2"	""	""	"141"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"55'"	""	""	""	""	""	""	""	""
"553"	"101"	""	""	""	"352"	""	""	""	""	"7"	""	""	"65"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"43"	""	""	""	""	""	""	""	""
"554"	"102"	""	""	""	"290"	""	""	""	""	"11"	""	""	"330"	""	""	""	""	"19"	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"661"	""	""	""	""	""	""	""	""
"555"	"103"	""	""	""	"795"	""	""	""	""	"2"	""	""	"18"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"82"	""	""	""	""	""	""	""	""
"556"	"104"	""	""	""	"713"	""	""	""	""	"3"	""	""	"68"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"79"	""	""	""	""	""	""	""	""
"557"	"105"	""	""	""	"516"	""	""	""	""	"1"	""	""	"44"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	""	"9"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"58"	""	""	""	""	""	""	""	""
"558"	"106"	""	""	""	"640"	""	""	""	""	"4"	""	""	"56"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"7"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"71!"	""	""	""	""	""	""	""	""
"559"	"107"	""	""	""	"584"	""	""	""	""	"7"	""	""	"59"	""	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"66!"	""	""	""	""	""	""	""	""
"560"	"108"	""	""	""	"608"	""	""	""	""	"5"	""	""	"44"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"66!"	""	""	""	""	""	""	""	""
"561"	"109"	""	""	""	"383"	""	""	""	""	"3"	""	""	"194"	""	""	""	""	"4"	""	""	""	""	"8"	""	""	""	""	""	""	"11"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"61:"	""	""	""	""	""	""	""	""
"562"	"110"	""	""	""	"464"	""	""	""	""	"1"	""	""	"124"	""	""	""	""	"9"	""	""	""	""	"7"	""	""	""	""	""	""	"31"	""	""	""	"11"	""	""	""	""	""	"73"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"72"	""	""	""	""	""	""	""	""
"563"	"111"	""	""	""	"455"	""	""	""	""	"2"	""	""	"31"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"491"	""	""	""	""	""	""	""	""
"564"	"112"	""	""	""	"588"	""	""	""	""	"3"	""	""	"107"	""	""	""	""	"25"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"72!"	""	""	""	""	""	""	""	""
"565"	"113"	""	""	""	"623"	""	""	""	""	"1"	""	""	"74"	""	""	""	""	"11"	""	""	""	""	"7"	""	""	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"73"	""	""	""	""	""	""	""	""
