"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"
"360"	"187"	""	"4"	""	"7"	""	""	"315"	""	""	""	""	"23"	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"0"	""	""	"5"	""	""	""	""	"370"	""	""	""	""	""	"0"	""	""	""	""	""	""	"370"	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"188"	""	"64"	""	"102"	""	""	"184"	""	""	""	""	"9"	""	""	""	""	"111"	""	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"1"	""	""	"4"	""	""	""	""	"497"	""	""	""	""	""	"0"	""	""	""	""	""	""	"497"	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"189"	""	"32"	""	"105"	""	""	"278"	""	""	""	""	"77"	""	""	""	""	"102"	""	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"4"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	"2"	""	""	"13"	""	""	""	""	"641"	""	""	""	""	""	"0"	""	""	""	""	""	""	"641"	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"190"	""	"51"	""	"25"	""	""	"164"	""	""	""	""	"19"	""	""	""	""	"70"	""	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	"22"	""	""	""	"12"	""	""	"22"	""	""	""	""	"405"	""	""	""	""	""	"0"	""	""	""	""	""	""	"405"	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"191"	""	"23"	""	"46"	""	""	"239"	""	""	""	""	"65"	""	""	""	""	"126"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"1"	""	""	"7"	""	""	""	""	"523"	""	""	""	""	""	"0"	""	""	""	""	""	""	"523"	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"192"	""	"16"	""	"16"	""	""	"302"	""	""	""	""	"30"	""	""	""	""	"12"	""	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	"5"	""	""	""	""	"401"	""	""	""	""	""	"0"	""	""	""	""	""	""	"401"	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"193"	""	"22"	""	"92"	""	""	"39"	""	""	""	""	"5"	""	""	""	""	"139"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"2"	""	""	"4"	""	""	""	""	"320"	""	""	""	""	""	"0"	""	""	""	""	""	""	"320"	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"193A"	""	"28"	""	"170"	""	""	"29"	""	""	""	""	"8"	""	""	""	""	"80"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"6"	""	""	"5"	""	""	""	""	"355"	""	""	""	""	""	"0"	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"194"	""	"8"	""	"156"	""	""	"77"	""	""	""	""	"23"	""	""	""	""	"32"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"2"	""	""	"3"	""	""	""	""	"314"	""	""	""	""	""	"0"	""	""	""	""	""	""	"314"	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"Total:-"	""	"591"	""	"1165"	""	""	"1951"	""	""	""	""	"724"	""	""	""	""	"1277"	""	""	""	""	""	"59"	""	""	""	""	"24"	""	""	""	"18"	""	""	""	"29"	""	""	""	"57"	""	""	""	""	"43"	""	""	""	""	"78"	""	""	""	"38"	""	""	"109"	""	""	""	""	"-6163"	""	""	""	""	""	""	""	""	""	""	""	""	"-6163"	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"372"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"373"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"Round  No.17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"Sl. No. of Polling Station"	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""	""	""
"377"	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	"14"	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""	""
"379"	"194A"	"25"	""	"87"	""	""	"115"	""	""	""	""	"24"	""	""	""	""	"56"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"5"	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"9"	""	""	""	"2"	""	""	"5"	""	""	""	""	"347"	""	""	""	""	""	"0"	""	""	""	""	""	""	"347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"195"	"42"	""	"191"	""	""	"81"	""	""	""	""	"29"	""	""	""	""	"194"	""	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	"6"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"9"	""	""	""	"12"	""	""	"23"	""	""	""	""	"612"	""	""	""	""	""	"0"	""	""	""	""	""	""	"612"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"196"	"12"	""	"120"	""	""	"175"	""	""	""	""	"19"	""	""	""	""	"167"	""	""	""	""	""	"4"	""	""	""	""	"12"	""	""	""	"0"	""	""	""	"3"	""	""	""	"3"	""	""	""	"5"	""	""	""	""	"10"	""	""	""	"4"	""	""	"5"	""	""	""	""	"539"	""	""	""	""	""	"0"	""	""	""	""	""	""	"539"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"197"	"28"	""	"226"	""	""	"94"	""	""	""	""	"8"	""	""	""	""	"113"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	"3"	""	""	""	"7"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"8"	""	""	"21"	""	""	""	""	"540"	""	""	""	""	""	"0"	""	""	""	""	""	""	"540"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"198"	"72"	""	"187"	""	""	"207"	""	""	""	""	"13"	""	""	""	""	"59"	""	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	""	"5"	""	""	""	"3"	""	""	""	""	"9"	""	""	""	"7"	""	""	"7"	""	""	""	""	"581"	""	""	""	""	""	"0"	""	""	""	""	""	""	"581"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"199"	"30"	""	"5"	""	""	"471"	""	""	""	""	"2"	""	""	""	""	"97"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	"5"	""	""	""	""	"614"	""	""	""	""	""	"0"	""	""	""	""	""	""	"614"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"200"	"41"	""	"19"	""	""	"72"	""	""	""	""	"101"	""	""	""	""	"319"	""	""	""	""	""	"9"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"3"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	"16"	""	""	""	""	"591"	""	""	""	""	""	"0"	""	""	""	""	""	""	"591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"201"	"142"	""	"140"	""	""	"16"	""	""	""	""	"71"	""	""	""	""	"61"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"5"	""	""	""	"0"	""	""	""	""	"7"	""	""	""	"3"	""	""	"8"	""	""	""	""	"456"	""	""	""	""	""	"0"	""	""	""	""	""	""	"456"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"202"	"196"	""	"41"	""	""	"5"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"4"	""	""	""	""	"257"	""	""	""	""	""	"0"	""	""	""	""	""	""	"257"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"203"	"55"	""	"24"	""	""	"46"	""	""	""	""	"78"	""	""	""	""	"191"	""	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"2"	""	""	"4"	""	""	""	""	"427"	""	""	""	""	""	"0"	""	""	""	""	""	""	"427"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"204"	"189"	""	"45"	""	""	"149"	""	""	""	""	"18"	""	""	""	""	"73"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"4"	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"10"	""	""	""	"3"	""	""	"23"	""	""	""	""	"531"	""	""	""	""	""	"0"	""	""	""	""	""	""	"531"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"205"	"18"	""	"10"	""	""	"35"	""	""	""	""	"13"	""	""	""	""	"332"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"4"	""	""	""	"8"	""	""	""	"8"	""	""	""	""	"4"	""	""	""	"3"	""	""	"5"	""	""	""	""	"447"	""	""	""	""	""	"0"	""	""	""	""	""	""	"447"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"206"	"2"	""	"3"	""	""	"0"	""	""	""	""	"34"	""	""	""	""	"467"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	"513"	""	""	""	""	""	"0"	""	""	""	""	""	""	"513"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"207"	"330"	""	"5"	""	""	"10"	""	""	""	""	"0"	""	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	"3"	""	""	""	""	"361"	""	""	""	""	""	"0"	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"Total:-"	"1182"	""	"1103"	""	""	"1476"	""	""	""	""	"415"	""	""	""	""	"2145"	""	""	""	""	""	"50"	""	""	""	""	"37"	""	""	""	"25"	""	""	""	"32"	""	""	""	"52"	""	""	""	"48"	""	""	""	""	"77"	""	""	""	"45"	""	""	"129"	""	""	""	""	"-6816"	""	""	""	""	""	""	""	""	""	""	""	""	"-6816"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"397"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"Round  No.18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"401"	""	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	""	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""
"403"	"208"	""	"90"	""	"56"	""	""	"14"	""	""	""	""	"8"	""	""	""	""	""	"187"	""	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"2"	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	"19"	""	""	""	"416"	""	""	""	""	""	""	"0"	""	""	""	""	""	"416"	""	""	""	""	""	""	""	""	""	""	""	""
"404"	"209"	""	"203"	""	"14"	""	""	"84"	""	""	""	""	"17"	""	""	""	""	""	"225"	""	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	"6"	""	""	""	"572"	""	""	""	""	""	""	"0"	""	""	""	""	""	"572"	""	""	""	""	""	""	""	""	""	""	""	""
"405"	"210"	""	"246"	""	"17"	""	""	"57"	""	""	""	""	"24"	""	""	""	""	""	"62"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"4"	""	""	""	"12"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	"7"	""	""	"30"	""	""	""	"478"	""	""	""	""	""	""	"0"	""	""	""	""	""	"478"	""	""	""	""	""	""	""	""	""	""	""	""
"406"	"211"	""	"14"	""	"10"	""	""	"14"	""	""	""	""	"16"	""	""	""	""	""	"237"	""	""	""	""	""	"21"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"6"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	"6"	""	""	""	"342"	""	""	""	""	""	""	"0"	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""	""	""
"407"	"212"	""	"1"	""	"1"	""	""	"0"	""	""	""	""	"18"	""	""	""	""	""	"298"	""	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"4"	""	""	""	"341"	""	""	""	""	""	""	"0"	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""	""
"408"	"213"	""	"146"	""	"30"	""	""	"42"	""	""	""	""	"34"	""	""	""	""	""	"182"	""	""	""	""	""	"3"	""	""	""	""	"66"	""	""	""	"1"	""	""	""	"2"	""	""	""	"16"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	"18"	""	""	""	"547"	""	""	""	""	""	""	"0"	""	""	""	""	""	"547"	""	""	""	""	""	""	""	""	""	""	""	""
"409"	"214"	""	"26"	""	"136"	""	""	"13"	""	""	""	""	"37"	""	""	""	""	""	"180"	""	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"3"	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	"5"	""	""	""	"426"	""	""	""	""	""	""	"0"	""	""	""	""	""	"426"	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"215"	""	"32"	""	"52"	""	""	"5"	""	""	""	""	"212"	""	""	""	""	""	"90"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	"4"	""	""	""	"412"	""	""	""	""	""	""	"0"	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""
"411"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"413"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"414"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"415"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"416"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"Total:-"	""	"758"	""	"316"	""	""	"229"	""	""	""	""	"366"	""	""	""	""	""	"1461"	""	""	""	""	""	"53"	""	""	""	""	"93"	""	""	""	"16"	""	""	""	"22"	""	""	""	"60"	""	""	""	""	"24"	""	""	""	""	"22"	""	""	""	""	"22"	""	""	"92"	""	""	""	"-3534"	""	""	""	""	""	""	""	""	""	""	""	""	"-3534"	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
