"No..and.Name.of.Assembly.Constituency.36.BANIYAPUR.ROUND.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"
"660"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"661"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"662"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"663"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"664"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"665"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"666"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"667"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"668"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"669"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"670"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"671"	""	""	""	""	""	""	"a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"672"	"1"	""	""	""	"2"	""	"3"	""	""	""	"4"	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	"11"	""	"12"	""	""	""	""	""	"13"	""	"14"	""	""	""
"673"	""	"1"	""	""	"1410"	""	""	""	"195"	""	"3893"	""	"477"	""	""	""	""	""	""	"126"	""	""	""	""	"107"	""	""	""	""	"121"	""	""	"70"	""	""	""	"168"	""	""	"6567"	""	""	""	""	"0"	""	""	"6567"	""	""	""	""	""
"674"	""	"2"	""	""	"1296"	""	""	""	"168"	""	"3429"	""	"282"	""	""	""	""	""	""	"89"	""	""	""	""	"101"	""	""	""	""	"102"	""	""	"55"	""	""	""	"405"	""	""	"5927"	""	""	""	""	"0"	""	""	"5927"	""	""	""	""	""
"675"	""	"3"	""	""	"1472"	""	""	""	"153"	""	"3029"	""	"470"	""	""	""	""	""	""	"95"	""	""	""	""	"142"	""	""	""	""	"87"	""	""	"71"	""	""	""	"149"	""	""	"5668"	""	""	""	""	"0"	""	""	"5668"	""	""	""	""	""
"676"	""	"4"	""	""	"2115"	""	""	""	"148"	""	"2111"	""	"176"	""	""	""	""	""	""	"58"	""	""	""	""	"114"	""	""	""	""	"130"	""	""	"60"	""	""	""	"262"	""	""	"5174"	""	""	""	""	"0"	""	""	"5174"	""	""	""	""	""
"677"	""	"5"	""	""	"2820"	""	""	""	"204"	""	"2266"	""	"233"	""	""	""	""	""	""	"84"	""	""	""	""	"126"	""	""	""	""	"101"	""	""	"78"	""	""	""	"230"	""	""	"6142"	""	""	""	""	"0"	""	""	"6142"	""	""	""	""	""
"678"	""	"6"	""	""	"1844"	""	""	""	"193"	""	"1401"	""	"1473"	""	""	""	""	""	""	"250"	""	""	""	""	"140"	""	""	""	""	"97"	""	""	"119"	""	""	""	"201"	""	""	"5718"	""	""	""	""	"0"	""	""	"5718"	""	""	""	""	""
"679"	""	"7"	""	""	"2199"	""	""	""	"309"	""	"2023"	""	"145"	""	""	""	""	""	""	"49"	""	""	""	""	"102"	""	""	""	""	"69"	""	""	"68"	""	""	""	"143"	""	""	"5107"	""	""	""	""	"0"	""	""	"5107"	""	""	""	""	""
"680"	""	"8"	""	""	"2147"	""	""	""	"282"	""	"1783"	""	"116"	""	""	""	""	""	""	"76"	""	""	""	""	"124"	""	""	""	""	"118"	""	""	"124"	""	""	""	"185"	""	""	"4955"	""	""	""	""	"0"	""	""	"4955"	""	""	""	""	""
"681"	""	"9"	""	""	"2330"	""	""	""	"292"	""	"1837"	""	"310"	""	""	""	""	""	""	"116"	""	""	""	""	"133"	""	""	""	""	"92"	""	""	"356"	""	""	""	"267"	""	""	"5733"	""	""	""	""	"0"	""	""	"5733"	""	""	""	""	""
"682"	""	"10"	""	""	"2475"	""	""	""	"507"	""	"1848"	""	"238"	""	""	""	""	""	""	"97"	""	""	""	""	"116"	""	""	""	""	"88"	""	""	"325"	""	""	""	"207"	""	""	"5901"	""	""	""	""	"0"	""	""	"5901"	""	""	""	""	""
"683"	""	"11"	""	""	"2240"	""	""	""	"471"	""	"1699"	""	"197"	""	""	""	""	""	""	"72"	""	""	""	""	"98"	""	""	""	""	"111"	""	""	"1073"	""	""	""	"246"	""	""	"6207"	""	""	""	""	"0"	""	""	"6207"	""	""	""	""	""
"684"	""	"12"	""	""	"1950"	""	""	""	"224"	""	"2344"	""	"319"	""	""	""	""	""	""	"97"	""	""	""	""	"131"	""	""	""	""	"129"	""	""	"336"	""	""	""	"251"	""	""	"5781"	""	""	""	""	"0"	""	""	"5781"	""	""	""	""	""
"685"	""	"13"	""	""	"2758"	""	""	""	"247"	""	"1584"	""	"248"	""	""	""	""	""	""	"62"	""	""	""	""	"91"	""	""	""	""	"75"	""	""	"475"	""	""	""	"181"	""	""	"5721"	""	""	""	""	"0"	""	""	"5721"	""	""	""	""	""
"686"	""	"14"	""	""	"1982"	""	""	""	"514"	""	"2419"	""	"199"	""	""	""	""	""	""	"107"	""	""	""	""	"138"	""	""	""	""	"116"	""	""	"211"	""	""	""	"271"	""	""	"5957"	""	""	""	""	"0"	""	""	"5957"	""	""	""	""	""
"687"	""	"15"	""	""	"749"	""	""	""	"236"	""	"754"	""	"60"	""	""	""	""	""	""	"34"	""	""	""	""	"62"	""	""	""	""	"48"	""	""	"116"	""	""	""	"63"	""	""	"2122"	""	""	""	""	"0"	""	""	"2122"	""	""	""	""	""
"688"	"Total"	""	""	""	"29787"	""	"4143"	""	""	""	"32420"	""	"4943"	""	""	""	""	"1412"	""	""	""	""	"1725"	""	""	""	""	"1484"	""	""	""	""	"3537"	""	""	""	"3229"	""	""	"82680"	""	""	""	""	"0"	""	""	"82680"	""	""	""	""	""
