"ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.192.MANER.ASSEMBLY.CONSTITUNECY.ROUND.15.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"
"426"	"215"	""	"19"	""	""	""	""	"1"	""	""	""	"21"	""	""	""	"329"	""	""	""	"89"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"473"	""	""	""	""	""	""	""	""	""	"473"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"427"	"216"	""	"86"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"118"	""	""	""	"139"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"428"	"217"	""	"39"	""	""	""	""	"4"	""	""	""	"9"	""	""	""	"152"	""	""	""	"250"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	"466"	""	""	""	""	""	""	""	""	""	"466"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"429"	"218"	""	"36"	""	""	""	""	"5"	""	""	""	"5"	""	""	""	"14"	""	""	""	"237"	""	""	""	""	"9"	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	"321"	""	""	""	""	""	""	""	""	""	"321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"430"	"219"	""	"27"	""	""	""	""	"3"	""	""	""	"14"	""	""	""	"146"	""	""	""	"133"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	"345"	""	""	""	""	""	""	""	""	""	"345"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"431"	"220"	""	"21"	""	""	""	""	"3"	""	""	""	"32"	""	""	""	"41"	""	""	""	"99"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"203"	""	""	""	""	""	""	""	""	""	"203"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"432"	"221"	""	"47"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"174"	""	""	""	"279"	""	""	""	""	"12"	""	""	""	""	"9"	""	""	""	""	""	"11"	""	""	""	""	""	"18"	""	""	""	""	""	"565"	""	""	""	""	""	""	""	""	""	"565"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"433"	"222"	""	"59"	""	""	""	""	"8"	""	""	""	"32"	""	""	""	"29"	""	""	""	"390"	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	"10"	""	""	""	""	""	"543"	""	""	""	""	""	""	""	""	""	"543"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"434"	"223"	""	"22"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"10"	""	""	""	"91"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	""	"136"	""	""	""	""	""	""	""	""	""	"136"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"435"	""	""	"496"	""	""	""	""	"44"	""	""	""	"160"	""	""	""	"1331"	""	""	""	"2324"	""	""	""	""	"79"	""	""	""	""	"43"	""	""	""	""	""	"49"	""	""	""	""	""	"90"	""	""	""	""	""	"4616"	""	""	""	""	"0"	""	""	""	""	"4616"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"436"	"st round"	""	"-18628"	""	""	""	""	"-1117"	""	""	""	"-3017"	""	""	""	"-33249"	""	""	""	"-27880"	""	""	""	""	"-1560"	""	""	""	""	"-670"	""	""	""	""	""	"-639"	""	""	""	""	""	"-2407"	""	""	""	""	""	"-89167"	""	""	""	""	"0"	""	""	""	""	"-89167"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"437"	"d Total"	""	"19124"	""	""	""	""	"1161"	""	""	""	"3177"	""	""	""	"34580"	""	""	""	"30204"	""	""	""	""	"1639"	""	""	""	""	"713"	""	""	""	""	""	"688"	""	""	""	""	""	"2497"	""	""	""	""	""	"93783"	""	""	""	""	"0"	""	""	""	""	"93783"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"438"	"e :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"439"	":-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"440"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"441"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) al No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"442"	"me of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"443"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""
"444"	"l no. of polling
station"	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"445"	"224"	""	"8"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"89"	""	""	""	"334"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	"443"	""	""	""	""	""	""	""	""	""	"443"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"446"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"447"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"448"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"449"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"451"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"452"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"454"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"455"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"456"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"457"	""	""	"8"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"89"	""	""	""	"334"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	"443"	""	""	""	""	"0"	""	""	""	""	"443"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"458"	"st round"	""	"-19124"	""	""	""	""	"-1161"	""	""	""	"-3177"	""	""	""	"-34580"	""	""	""	"-30204"	""	""	""	""	"-1639"	""	""	""	""	"-713"	""	""	""	""	""	""	"-688"	""	""	""	""	"-2497"	""	""	""	""	""	"-93783"	""	""	""	""	"0"	""	""	""	""	"-93783"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"459"	"d Total"	""	"19132"	""	""	""	""	"1162"	""	""	""	"3178"	""	""	""	"34669"	""	""	""	"30538"	""	""	""	""	"1643"	""	""	""	""	"716"	""	""	""	""	""	""	"688"	""	""	""	""	"2500"	""	""	""	""	""	"94226"	""	""	""	""	"0"	""	""	""	""	"94226"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"460"	"e :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"461"	":-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"462"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
