"Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"
"398"	"153"	""	"259"	""	"58"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	"336"	""	""	""	""	""	""	"336"	""	""	""	""	""	""	""	""	""	""	""
"399"	"153A"	""	"53"	""	"135"	""	""	""	"0"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"200"	""	""	""	""	""	""	"200"	""	""	""	""	""	""	""	""	""	""	""
"400"	"154"	""	"94"	""	"118"	""	""	""	"1"	""	""	"53"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"8"	""	""	"4"	""	""	""	"2"	""	""	""	"8"	""	""	""	"300"	""	""	""	""	""	""	"300"	""	""	""	""	""	""	""	""	""	""	""
"401"	"154A"	""	"39"	""	"172"	""	""	""	"4"	""	""	"14"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	""	"1"	""	""	""	"246"	""	""	""	""	""	""	"246"	""	""	""	""	""	""	""	""	""	""	""
"402"	"155"	""	"39"	""	"347"	""	""	""	"7"	""	""	"29"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"7"	""	""	""	"3"	""	""	""	"13"	""	""	""	"457"	""	""	""	""	""	""	"457"	""	""	""	""	""	""	""	""	""	""	""
"403"	"Total"	""	"1298"	""	"3194"	""	""	""	"32"	""	""	"172"	""	""	""	""	""	"38"	""	""	""	""	"90"	""	""	""	"12"	""	""	""	"11"	""	""	""	"18"	""	""	""	""	""	"11"	""	""	""	""	"16"	""	""	"23"	""	""	""	"23"	""	""	""	"61"	""	""	""	"4999"	""	""	""	""	""	""	"4999"	""	""	""	"0"	""	""	""	""	""	""	""
"404"	"Till Last Round"	""	"11478"	""	"56062"	""	""	""	"690"	""	""	"1722"	""	""	""	""	""	"582"	""	""	""	""	"1204"	""	""	""	"131"	""	""	""	"98"	""	""	""	"128"	""	""	""	""	""	"222"	""	""	""	""	"101"	""	""	"137"	""	""	""	"189"	""	""	""	"514"	""	""	""	"73258"	""	""	""	"0"	""	""	"73258"	""	""	""	"0"	""	""	""	""	""	""	""
"405"	"Grand Total"	""	"12776"	""	"59256"	""	""	""	"722"	""	""	"1894"	""	""	""	""	""	"620"	""	""	""	""	"1294"	""	""	""	"143"	""	""	""	"109"	""	""	""	"146"	""	""	""	""	""	"233"	""	""	""	""	"117"	""	""	"160"	""	""	""	"212"	""	""	""	"575"	""	""	""	"78257"	""	""	""	"0"	""	""	"78257"	""	""	""	"0"	""	""	""	""	""	""	""
"406"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"407"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"408"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"409"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"411"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"156"	""	"26"	""	"355"	""	""	""	"7"	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"10"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	"412"	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""
"413"	"157"	""	"60"	""	"249"	""	""	""	"5"	""	""	"13"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	""	"5"	""	""	""	"346"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""	""
"414"	"157A"	""	"39"	""	"271"	""	""	""	"8"	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	""	"4"	""	""	""	"346"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""	""
"415"	"158"	""	"31"	""	"307"	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"9"	""	""	""	"360"	""	""	""	""	""	""	"360"	""	""	""	""	""	""	""	""	""	""	""
"416"	"158A"	""	"29"	""	"204"	""	""	""	"1"	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"6"	""	""	""	"264"	""	""	""	""	""	""	"264"	""	""	""	""	""	""	""	""	""	""	""
"417"	"159"	""	"52"	""	"311"	""	""	""	"4"	""	""	"8"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"6"	""	""	""	"392"	""	""	""	""	""	""	"392"	""	""	""	""	""	""	""	""	""	""	""
"418"	"159A"	""	"34"	""	"271"	""	""	""	"3"	""	""	"15"	""	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	"3"	""	""	""	"0"	""	""	""	"4"	""	""	""	"345"	""	""	""	""	""	""	"345"	""	""	""	""	""	""	""	""	""	""	""
"419"	"160"	""	"129"	""	"180"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"328"	""	""	""	""	""	""	"328"	""	""	""	""	""	""	""	""	""	""	""
"420"	"160A"	""	"72"	""	"169"	""	""	""	"0"	""	""	"8"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"251"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""
"421"	"161"	""	"24"	""	"328"	""	""	""	"4"	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"12"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"5"	""	""	""	"4"	""	""	""	"388"	""	""	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""
"422"	"161A"	""	"96"	""	"173"	""	""	""	"2"	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"296"	""	""	""	""	""	""	"296"	""	""	""	""	""	""	""	""	""	""	""
"423"	"162"	""	"67"	""	"277"	""	""	""	"0"	""	""	"12"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	"2"	""	""	""	"1"	""	""	""	"8"	""	""	""	"385"	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""
"424"	"162A"	""	"53"	""	"202"	""	""	""	"0"	""	""	"9"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	"3"	""	""	""	"2"	""	""	""	"10"	""	""	""	"292"	""	""	""	""	""	""	"292"	""	""	""	""	""	""	""	""	""	""	""
"425"	"163"	""	"23"	""	"260"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	"302"	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""
"426"	"Total"	""	"735"	""	"3557"	""	""	""	"37"	""	""	"104"	""	""	""	""	""	"20"	""	""	""	""	"82"	""	""	""	"15"	""	""	""	"9"	""	""	""	"8"	""	""	""	""	""	"17"	""	""	""	""	"22"	""	""	"11"	""	""	""	"21"	""	""	""	"69"	""	""	""	"4707"	""	""	""	""	""	""	"4707"	""	""	""	"0"	""	""	""	""	""	""	""
"427"	"Till Last Round"	""	"12776"	""	"59256"	""	""	""	"722"	""	""	"1894"	""	""	""	""	""	"620"	""	""	""	""	"1294"	""	""	""	"143"	""	""	""	"109"	""	""	""	"146"	""	""	""	""	""	"233"	""	""	""	""	"117"	""	""	"160"	""	""	""	"212"	""	""	""	"575"	""	""	""	"78257"	""	""	""	"0"	""	""	"78257"	""	""	""	"0"	""	""	""	""	""	""	""
"428"	"Grand Total"	""	"13511"	""	"62813"	""	""	""	"759"	""	""	"1998"	""	""	""	""	""	"640"	""	""	""	""	"1376"	""	""	""	"158"	""	""	""	"118"	""	""	""	"154"	""	""	""	""	""	"250"	""	""	""	""	"139"	""	""	"171"	""	""	""	"233"	""	""	""	"644"	""	""	""	"82964"	""	""	""	"0"	""	""	"82964"	""	""	""	"0"	""	""	""	""	""	""	""
"429"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"430"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"431"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"432"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"433"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"434"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"435"	"163A"	""	"126"	""	"96"	""	""	""	"2"	""	""	"8"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"241"	""	""	""	""	""	""	"241"	""	""	""	""	""	""	""	""	""	""	""
"436"	"164"	""	"74"	""	"194"	""	""	""	"1"	""	""	"13"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"298"	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""
"437"	"164A"	""	"64"	""	"105"	""	""	""	"0"	""	""	"13"	""	""	""	""	""	"2"	""	""	""	""	"9"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"196"	""	""	""	""	""	""	"196"	""	""	""	""	""	""	""	""	""	""	""
"438"	"165"	""	"42"	""	"345"	""	""	""	"6"	""	""	"11"	""	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"421"	""	""	""	""	""	""	"421"	""	""	""	""	""	""	""	""	""	""	""
"439"	"166"	""	"30"	""	"185"	""	""	""	"11"	""	""	"29"	""	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"276"	""	""	""	""	""	""	"276"	""	""	""	""	""	""	""	""	""	""	""
"440"	"166A"	""	"15"	""	"107"	""	""	""	"5"	""	""	"31"	""	""	""	""	""	"1"	""	""	""	""	"14"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	"5"	""	""	""	"184"	""	""	""	""	""	""	"184"	""	""	""	""	""	""	""	""	""	""	""
"441"	"167"	""	"47"	""	"232"	""	""	""	"2"	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	"2"	""	""	""	"2"	""	""	""	"5"	""	""	""	"308"	""	""	""	""	""	""	"308"	""	""	""	""	""	""	""	""	""	""	""
"442"	"167A"	""	"67"	""	"188"	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"4"	""	""	""	"272"	""	""	""	""	""	""	"272"	""	""	""	""	""	""	""	""	""	""	""
"443"	"168"	""	"78"	""	"245"	""	""	""	"2"	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"346"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""	""
"444"	"168A"	""	"15"	""	"232"	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"9"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"266"	""	""	""	""	""	""	"266"	""	""	""	""	""	""	""	""	""	""	""
"445"	"169"	""	"179"	""	"45"	""	""	""	"0"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"227"	""	""	""	""	""	""	"227"	""	""	""	""	""	""	""	""	""	""	""
"446"	"169A"	""	"127"	""	"14"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"150"	""	""	""	""	""	""	"150"	""	""	""	""	""	""	""	""	""	""	""
"447"	"170"	""	"230"	""	"21"	""	""	""	"0"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"4"	""	""	""	"1"	""	""	""	"8"	""	""	""	"270"	""	""	""	""	""	""	"270"	""	""	""	""	""	""	""	""	""	""	""
"448"	"170A"	""	"254"	""	"10"	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	"2"	""	""	""	"1"	""	""	""	"5"	""	""	""	"297"	""	""	""	""	""	""	"297"	""	""	""	""	""	""	""	""	""	""	""
"449"	"Total"	""	"1348"	""	"2019"	""	""	""	"34"	""	""	"131"	""	""	""	""	""	"18"	""	""	""	""	"62"	""	""	""	"11"	""	""	""	"15"	""	""	""	"7"	""	""	""	""	""	"28"	""	""	""	""	"15"	""	""	"9"	""	""	""	"13"	""	""	""	"42"	""	""	""	"3752"	""	""	""	""	""	""	"3752"	""	""	""	"0"	""	""	""	""	""	""	""
"450"	"Till Last Round"	""	"13511"	""	"62813"	""	""	""	"759"	""	""	"1998"	""	""	""	""	""	"640"	""	""	""	""	"1376"	""	""	""	"158"	""	""	""	"118"	""	""	""	"154"	""	""	""	""	""	"250"	""	""	""	""	"139"	""	""	"171"	""	""	""	"233"	""	""	""	"644"	""	""	""	"82964"	""	""	""	"0"	""	""	"82964"	""	""	""	"0"	""	""	""	""	""	""	""
"451"	"Grand Total"	""	"14859"	""	"64832"	""	""	""	"793"	""	""	"2129"	""	""	""	""	""	"658"	""	""	""	""	"1438"	""	""	""	"169"	""	""	""	"133"	""	""	""	"161"	""	""	""	""	""	"278"	""	""	""	""	"154"	""	""	"180"	""	""	""	"246"	""	""	""	"686"	""	""	""	"86716"	""	""	""	"0"	""	""	"86716"	""	""	""	"0"	""	""	""	""	""	""	""
"452"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"454"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"455"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"456"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"457"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"458"	"171"	""	"150"	""	"44"	""	""	""	"0"	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"205"	""	""	""	""	""	""	"205"	""	""	""	""	""	""	""	""	""	""	""
"459"	"171A"	""	"165"	""	"23"	""	""	""	"0"	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"197"	""	""	""	""	""	""	"197"	""	""	""	""	""	""	""	""	""	""	""
"460"	"172"	""	"99"	""	"328"	""	""	""	"1"	""	""	"12"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	"460"	""	""	""	""	""	""	"460"	""	""	""	""	""	""	""	""	""	""	""
"461"	"173"	""	"24"	""	"339"	""	""	""	"2"	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"5"	""	""	""	"385"	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""
"462"	"174"	""	"27"	""	"255"	""	""	""	"0"	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"5"	""	""	""	"306"	""	""	""	""	""	""	"306"	""	""	""	""	""	""	""	""	""	""	""
"463"	"174A"	""	"34"	""	"331"	""	""	""	"2"	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"9"	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"8"	""	""	""	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"1"	""	""	""	"402"	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""
"464"	"175"	""	"53"	""	"377"	""	""	""	"2"	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	"12"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"460"	""	""	""	""	""	""	"460"	""	""	""	""	""	""	""	""	""	""	""
