"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"
"260"	"13"	""	"175"	""	""	"10"	""	"175"	""	""	""	"84"	""	""	""	"8"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"307"	""	""	""	""	""	""	"0"	""	""	""	""	""	"307"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"14"	""	"176"	""	""	"3"	""	"21"	""	""	""	"179"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"176"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"388"	""	""	""	""	""	""	"0"	""	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"Total"	""	""	""	""	"121"	""	"1172"	""	""	""	"2451"	""	""	""	"66"	""	""	""	""	"49"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"331"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"28"	""	""	""	""	""	"4293"	""	""	""	""	""	""	"0"	""	""	""	""	""	"4293"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""
"264"	""	""	""	""	""	"AMRENDRA SINGH"	""	""	"KUNTI DEVI"	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"1"	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"1"	""	"177"	""	""	"15"	""	""	"77"	""	""	"193"	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	"311"	""	""	""	""	""	""	"0"	""	""	""	""	""	"311"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"2"	""	"178"	""	""	"6"	""	""	"20"	""	""	"242"	""	""	""	"13"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"294"	""	""	""	""	""	""	"0"	""	""	""	""	""	"294"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"3"	""	"179"	""	""	"4"	""	""	"2"	""	""	"16"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"256"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"281"	""	""	""	""	""	""	"0"	""	""	""	""	""	"281"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"4"	""	"180"	""	""	"92"	""	""	"59"	""	""	"21"	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"29"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	"226"	""	""	""	""	""	""	"0"	""	""	""	""	""	"226"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"5"	""	"181"	""	""	"9"	""	""	"160"	""	""	"21"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"201"	""	""	""	""	""	""	"0"	""	""	""	""	""	"201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"6"	""	"182"	""	""	"9"	""	""	"124"	""	""	"12"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"147"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	""	"326"	""	""	""	""	""	""	"0"	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"7"	""	"183"	""	""	"7"	""	""	"30"	""	""	"120"	""	""	""	"1"	""	""	""	""	""	"12"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	"198"	""	""	""	""	""	""	"0"	""	""	""	""	""	"198"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"8"	""	"184"	""	""	"39"	""	""	"87"	""	""	"91"	""	""	""	"6"	""	""	""	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"29"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"272"	""	""	""	""	""	""	"0"	""	""	""	""	""	"272"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"9"	""	"185"	""	""	"2"	""	""	"103"	""	""	"210"	""	""	""	"11"	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"52"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"10"	""	""	""	""	""	"419"	""	""	""	""	""	""	"0"	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"10"	""	"186"	""	""	"9"	""	""	"46"	""	""	"189"	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"261"	""	""	""	""	""	""	"0"	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"11"	""	"187"	""	""	"17"	""	""	"165"	""	""	"46"	""	""	""	"11"	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"16"	""	""	""	""	""	"297"	""	""	""	""	""	""	"0"	""	""	""	""	""	"297"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"12"	""	"188"	""	""	"14"	""	""	"143"	""	""	"88"	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"54"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"13"	""	""	""	""	""	"352"	""	""	""	""	""	""	"0"	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"13"	""	"189"	""	""	"5"	""	""	"26"	""	""	"299"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	"336"	""	""	""	""	""	""	"0"	""	""	""	""	""	"336"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"14"	""	"190"	""	""	"41"	""	""	"30"	""	""	"98"	""	""	""	"4"	""	""	""	""	""	"13"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"11"	""	""	""	""	""	"231"	""	""	""	""	""	""	"0"	""	""	""	""	""	"231"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Total"	""	""	""	""	"269"	""	""	"1072"	""	""	"1646"	""	""	""	"67"	""	""	""	""	""	"67"	""	""	""	""	""	"47"	""	""	""	""	""	""	""	"609"	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"40"	""	""	""	""	""	""	"77"	""	""	""	""	""	"4005"	""	""	""	""	""	""	"0"	""	""	""	""	""	"4005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""
"282"	""	""	""	""	""	"AMRENDRA SINGH"	""	""	"KUNTI DEVI"	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"1"	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"1"	""	"191"	""	""	"22"	""	""	"144"	""	""	"35"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"127"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"345"	""	""	""	""	""	""	"0"	""	""	""	""	""	"345"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"2"	""	"192"	""	""	"28"	""	""	"197"	""	""	"25"	""	""	""	"9"	""	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"15"	""	""	""	""	""	"338"	""	""	""	""	""	""	"0"	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"3"	""	"193"	""	""	"28"	""	""	"182"	""	""	"83"	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	"339"	""	""	""	""	""	""	"0"	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"4"	""	"194"	""	""	"27"	""	""	"129"	""	""	"151"	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"354"	""	""	""	""	""	""	"0"	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"5"	""	"195"	""	""	"27"	""	""	"331"	""	""	"14"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"401"	""	""	""	""	""	""	"0"	""	""	""	""	""	"401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"6"	""	"196"	""	""	"13"	""	""	"200"	""	""	"19"	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"27"	""	""	""	""	""	"298"	""	""	""	""	""	""	"0"	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"7"	""	"197"	""	""	"7"	""	""	"195"	""	""	"14"	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"52"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"284"	""	""	""	""	""	""	"0"	""	""	""	""	""	"284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"8"	""	"197A"	""	""	"8"	""	""	"13"	""	""	"71"	""	""	""	"14"	""	""	""	""	""	"12"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"150"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"7"	""	""	""	""	""	"310"	""	""	""	""	""	""	"0"	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"9"	""	"198"	""	""	"21"	""	""	"209"	""	""	"79"	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	"332"	""	""	""	""	""	""	"0"	""	""	""	""	""	"332"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"10"	""	"198A"	""	""	"5"	""	""	"91"	""	""	"130"	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"258"	""	""	""	""	""	""	"0"	""	""	""	""	""	"258"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"11"	""	"199"	""	""	"6"	""	""	"276"	""	""	"44"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"341"	""	""	""	""	""	""	"0"	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"12"	""	"200"	""	""	"67"	""	""	"111"	""	""	"63"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"254"	""	""	""	""	""	""	"0"	""	""	""	""	""	"254"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"13"	""	"201"	""	""	"14"	""	""	"197"	""	""	"28"	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"262"	""	""	""	""	""	""	"0"	""	""	""	""	""	"262"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"14"	""	"202"	""	""	"16"	""	""	"91"	""	""	"321"	""	""	""	"50"	""	""	""	""	""	"15"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"528"	""	""	""	""	""	""	"0"	""	""	""	""	""	"528"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"Total"	""	""	""	""	"289"	""	""	"2366"	""	""	"1077"	""	""	""	"105"	""	""	""	""	""	"69"	""	""	""	""	""	"31"	""	""	""	""	""	""	""	"468"	""	""	""	""	""	""	""	"34"	""	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"27"	""	""	""	""	""	""	""	"45"	""	""	""	""	""	""	"80"	""	""	""	""	""	"4644"	""	""	""	""	""	""	"0"	""	""	""	""	""	"4644"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""
"300"	""	""	""	""	""	"AMRENDRA SINGH"	""	""	"KUNTI DEVI"	""	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
